annotation_id,tweet_id,customer_message,suggested_intent,annotation_status,final_intent,review_notes
81,1702,@AmazonHelp They sent me the email I sent you guys that said I wasn't gonna be charged. He must have been able to look up my account a different way.,,unlabelled,,
82,19207,@AmazonHelp details shared,,unlabelled,,
83,823585,@AmazonHelp Amazon app just changed expected delivery moments ago. I'm more concerned with the guaranteed delivery of the 12th though. Got my hopes up.,WEBSITE_OR_APP,weak_label,,
84,176365,"@AmazonHelp It's a lot more than I can fit here, but here is a truncated version:
11/11-Ordered clothes to be delivered to me in Las Vegas, 11/15-Late delivered but told they would arrive next day, 11/16-ordered some underwear/socks on primenow (they were late) and main order never arrived",DELIVERY_DELAY,weak_label,,
85,67483,@AmazonHelp I have £173.94 of pending transactions currently waiting to be paid to amazon. I have only ordered about £127 of stuff and I was told the transactions would clear and the extra payments would be cancelled when I received the order. I sent two emails regarding this and got 1 back.,ORDER_CANCELLATION,weak_label,,
86,301813,"@AmazonHelp yo, my package says delivered but it has not been. it was shipped with something else, which I DID receive.",ORDER_DISPATCH,weak_label,,
87,2735658,@AmazonHelp any reason my brand new #firestick won't connect to an LG tv in perfect condition? @118302 @115821 @5459 #help,DEVICE,weak_label,,
88,17251,@AmazonHelp This is my account only. How you can say this is duplicate account.,,unlabelled,,
89,156767,"@AmazonHelp @AmazonHelp I ordered call of duty on ps4 yesterday, but my little brother came on and cancelled my order and is no longer in stock!! Any help please",ORDER_CANCELLATION,weak_label,,
90,1666208,"@AmazonHelp 
Order not received
Order# 402-8236444-9314749
Status:Delivered yesterday
Courier: Delhivery, Tracking #: 5180792515113",PACKAGE_NOT_RECEIVED,weak_label,,
91,1409080,Never received an @115821 package — can someone from @AmazonHelp help me locate it?,PACKAGE_NOT_RECEIVED,weak_label,,
92,13188,"@AmazonHelp Thanks, did you receive my other tweet regarding a VAT receipt?",,unlabelled,,
93,180424,@AmazonHelp There are too many items price show wrong on amazon website,WEBSITE_OR_APP,weak_label,,
94,19451,@AmazonHelp Aap logo ki complain national consumer forum me bhi Jr di hai. Complain no is - 483856,,unlabelled,,
95,158624,@AmazonHelp help pleaseeee amazon website wont recognize my phone number I just made an account yesterday,WEBSITE_OR_APP,weak_label,,
96,145715,@115821 @115850 ordered black shoes n received grey shoes n both the shoes pattern is also different @AmazonHelp #A2Z Alpha seller..... https://t.co/b0FUbC0dbd,SELLER,weak_label,,
97,55063,@AmazonHelp Please tell your Indian division to stop showing Pantry products under Prime results because Pantry does not have free shipping.,ORDER_DISPATCH,weak_label,,
98,18378,@AmazonHelp わわ、ご丁寧に返信頂き、ありがとうございます(_ _*)もしかしたらそうなのかも知れません💦引き落とし確認前に購入してしまった物があるので、取り敢えず月会費に変更してみました。次月利用予定なければキャンセルする予定です。,,unlabelled,,
99,19191,@AmazonHelp is my parcel lost in transit I’ve never experienced a delay with delivery from you!! https://t.co/DJ4tGuR94P,DELIVERY_DELAY,weak_label,,
100,16437,@AmazonHelp I am not filling up any more forms now. My details and complaint are in your system already and my name is sameer taimni.,,unlabelled,,
101,89193,"@AmazonHelp I just got off the line with you guys, in summary: @116324 lied about delivery, lied about coming to my door, hung up on your own customer service (poor girl). So I refunded it.",REFUND,weak_label,,
102,19464,"@AmazonHelp Scam, just scam, sellers don't send out my products~ 6 orders. so bad~",,unlabelled,,
103,46548,@AmazonHelp I got a msg saying that my order has been cancelled for no specific reason and the payment has already been done https://t.co/8pCGmquCer,ORDER_CANCELLATION,weak_label,,
104,1261157,"@AmazonHelp Two items shipped separate, due today, delivery firm never received. Order: 204-9937770-9905926 maybe someone could call me.",PACKAGE_NOT_RECEIVED,weak_label,,
105,65688,.@AmazonHelp I’m kinda done - I spent 1.5 hours in talks with four (!) different hotliners which ended up not being able to help until I bought more (!) to have my cart be above $25 so I could return three other broken CDs. Will return &amp; scout local stores instead. @115851,RETURN,weak_label,,
106,105250,"@AmazonHelp Hi, my item has been marked as returned/not-delivered by Hermes , can you tell me why please? Cheers C",RETURN,weak_label,,
107,669,@AmazonHelp I just said it's been sorted! I've been refunded! I'm just not impressed with the service any more.,REFUND,weak_label,,
108,63878,"@AmazonHelp I fear you have missed the point... I would be more patient if I knew how long I have to be patient for, or if I have to add items to my @Tesco order.

I would prefer to cancel the entire £100 order as you can not get it to me by the date you agreed to, but I was locked in 24/11",ORDER_CANCELLATION,weak_label,,
109,758950,@AmazonHelp unlock my account please! I can't purchase my order virtual Yandex money MasterCard. I sent fax and email with billing address,PAYMENT,weak_label,,
110,133803,@AmazonHelp What do I do about a parcel that according to your tracking was delivered yesterday but actually nothing turned up??!!,DELIVERY_TRACKING,weak_label,,
111,294270,@AmazonHelp Ur SM team is in touch on mail with us. Refer order no 408-9078885-0557167. track its history.U delivered it to someone else &amp; took my money,DELIVERY_TRACKING,weak_label,,
112,9802,"@AmazonHelp Haven’t received any mail, can you please resend mail to __email__",,unlabelled,,
113,498513,@AmazonHelp Hey my last order says confirmed on the Amazon app but I've still not received any email nor has my card been debited,WEBSITE_OR_APP,weak_label,,
114,77532,"@AmazonHelp it just says ""Saturday, November 25: Package has left seller facility and is in transit to carrier.""",SELLER,weak_label,,
115,136879,@AmazonHelp Yes. I moved it to my cart but now it's telling me it's not available from the seller. Is this a glitch or does it mean it's sold out?,SELLER,weak_label,,
116,2727072,"@AmazonHelp You just linked to a page that requires me to sign in. And it's clear from the lengthy notes I sent you, I can't log in... fml.",ACCOUNT,weak_label,,
117,2584,@AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,,unlabelled,,
118,137116,"@AmazonHelp I haven't received any email, there was a revised delivery date the first time it was delayed but not this time.",DELIVERY_DELAY,weak_label,,
119,109929,@AmazonHelp Team may i know the reason. Y u guys were cancelled my order,ORDER_CANCELLATION,weak_label,,
120,533223,"@AmazonHelp I contacted amazon at 5:30pm (after the office was close) I was assure instructions were given to the driver to deliver today from 10 to 12, he apparently still tried to deliver a 7:05pm, instructions WERE never given to deliver TODAY https://t.co/fqgzEOB6Sj",DELIVERY_INSTRUCTIONS,weak_label,,
121,11577,@AmazonHelp beleza 😢,,unlabelled,,
122,16892,@AmazonHelp Every time just an useless reply....,,unlabelled,,
123,1734563,@AmazonHelp Is there a way to put a custom delivery instructions? there isn't a suitable instruction for my location . thanks!,DELIVERY_INSTRUCTIONS,weak_label,,
124,2872468,I can't sign in nor find my account!! @AmazonHelp,ACCOUNT,weak_label,,
125,16763,@AmazonHelp Was promised supervisor would call today after a series of bad deliveries where groceries were thrown over fence or not delivered at all.,,unlabelled,,
126,5792,"@AmazonHelp Okay, thanks so much!",,unlabelled,,
127,1085157,@AmazonHelp The Amazon app has stopped working on my tv since yesterday. Any idea why??,WEBSITE_OR_APP,weak_label,,
128,114361,"@AmazonHelp hi I returned an item via amazon locker, I put the item in on Sunday and the return status is still “return requested” and hasn’t acknowledged that I’ve put it in the locker. Is this normal?",RETURN,weak_label,,
129,14012,"@AmazonHelp Don't be silly.  Read the Tweet!  I NEED 2 KNOW HOW U INSTRUCT CUSTOMERS.

What is the plan?  We've tenants who think they've the rite 2 store empty AF totes in the common area presumably awaiting PickUp 10+ days is 10 days longer that the small front hall common area can handle.",,unlabelled,,
130,74817,"@AmazonHelp Have u gone mad or you're making me mad, you won't deliver order, won't refund the amount and you doesn't act on complaint just ask to fill or tell details every time I contacted you. Not a single time I got a positive response Sir action taken, if asked it's against your policy",REFUND,weak_label,,
131,17654,@AmazonHelp Why should I suffer if product is not up to the mark. We know Amazon only not to other things. I bought because of Amazon name only.,,unlabelled,,
132,133596,@AmazonHelp Yes what it was one item in my cart was holding it up.  Apparently there was an issue with the item and or seller and the place order wouldn’t go through the page just kept reloading. One of Amazons customer service from home folks helped me troubleshoot and track down the issue.,SELLER,weak_label,,
133,1565030,@AmazonHelp Would like some action taken against this as this is outright lies &amp; I have obviously not received my package. Not satisfactory,PACKAGE_NOT_RECEIVED,weak_label,,
134,889429,"@AmazonHelp Account locked, responded to email, account still locked after amazon sent response. Why...?",ACCOUNT,weak_label,,
135,13884,"@AmazonHelp why are you removimg @79087 from your tweets? I have official email from @79087 they dont care , they did not sell this product.",,unlabelled,,
136,14302,@AmazonHelp @119042 Thank you! Solved 2 problems with coustomer service. I LOVE Amazon. Super helpful. 👍👍,,unlabelled,,
137,127393,@AmazonHelp Please deliver the order. Don't reach by saying that we will take against seller. And we promise that this won't happen with you again. As in last cancellation you said the same thing and it happen again.,SELLER,weak_label,,
138,5127,@AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H,REFUND,weak_label,,
139,570809,@AmazonHelp do you guys see LiteCoin as a payment method any time soon?,PAYMENT,weak_label,,
140,246372,@AmazonHelp Not yes dispatched yet.. Yesterday it said delivery tomorrow,ORDER_DISPATCH,weak_label,,
141,757709,"Hi @33868 + @AmazonHelp, how do I register my Dutch debit card on AmazonUK as a payment method. Doesn't appear to be a proper card number?",PAYMENT,weak_label,,
142,132401,@AmazonHelp Should I cancel the order?,ORDER_CANCELLATION,weak_label,,
143,64119,@AmazonHelp since when did you start charging return postage??,RETURN,weak_label,,
144,16851,@AmazonHelp Great response by Amazon.... compensation of 500 INR...no legal action against seller &amp; brand #JeffBezos https://t.co/JmwhiGX814,SELLER,weak_label,,
145,1159300,@AmazonHelp Account hacked and no phone call from accounts specialist as promised in 7 days - nothing but the same useless email 5 times.,ACCOUNT,weak_label,,
146,307199,@AmazonHelp Please provide me an update on my package. It still has not arrived and tracking has not been updated since Thursday.,DELIVERY_TRACKING,weak_label,,
147,11981,@AmazonHelp Many times..Always got them saying well deliver it by deadline...I hate your service now,,unlabelled,,
148,257183,"@AmazonHelp I sent someone a gift card via mail / ups and they have not received it, even though it shows delivered.  Can you help?",PACKAGE_NOT_RECEIVED,weak_label,,
149,67442,@AmazonHelp By a seller. Not Amazon.,SELLER,weak_label,,
150,5307,"@AmazonHelp Can do, but that means I will miss out on Black Friday and Cyber Monday shopping.",,unlabelled,,
151,13189,"Hi @AmazonHelp, I’ve purchased something via your app and it’s broken! How can I get it replaced?",,unlabelled,,
152,12517,@AmazonHelp Rather than wasting time here can you please check with your team &amp; confirm whether they have responded. Use basic communication skills Sir,,unlabelled,,
153,1065671,"@AmazonHelp i did not receive an item that shows as delivered, and can't find a way to report the issue via your site. please advise.",PACKAGE_NOT_RECEIVED,weak_label,,
154,631615,"@AmazonHelp I managed to reapply for Prime, and then get it switched to  Student Prime. In the meantime, even though there were the correct funds in the preferred payment method, you proceeded to take it out of the wrong card - £79 on 18/11, £79 on 22/11, &amp; £39 on 23/11 - causing that to /1",PAYMENT,weak_label,,
155,919427,@AmazonHelp Shit service you guys are giving. Cc says order is delivered we can't do anything. Just leave it. Shame on you. M suffering for ur mistake.,DELIVERY_INSTRUCTIONS,weak_label,,
156,2567,@AmazonHelp Bummer! I was hoping to get it quick. Oh well! Thanks for the response.,,unlabelled,,
157,18709,@AmazonHelp why is Videos option missing in the skills for Alexa in India? Not able to connect my fire TV.,,unlabelled,,
158,13902,@AmazonHelp Thanks! I will.,,unlabelled,,
159,18150,@AmazonHelp I gave it another day and still not delivered. 😡,,unlabelled,,
160,1886074,.@AmazonHelp will you ever get a delivery right? Yet again delivery instructions have being ignored. Already contacted the head of logistics,DELIVERY_INSTRUCTIONS,weak_label,,
161,331969,@AmazonHelp (2/2)if customer has paid for the same he has right to know where is the order &amp; who is delivering. Right???,DELIVERY_TRACKING,weak_label,,
162,627,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,,unlabelled,,
163,6958,"@AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.",,unlabelled,,
164,205006,@AmazonHelp 30 minutes on the phone and I was told Amazon will not be responsible for any items that is sold by third-party.,SELLER,weak_label,,
165,1672900,"@AmazonHelp It's my Firestick Issue, not a Tablet issue! Did you not read the tweet or watch the video?",DEVICE,weak_label,,
166,651,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",,unlabelled,,
167,312118,@AmazonHelp Don't i have any other work to keep reporting to contact for every order i place. Don't u guys yourself track such delays from your end,DELIVERY_TRACKING,weak_label,,
168,1594650,"@AmazonHelp About 10 minutes after I received the original email in your team. I don't know the latest tracking status, I can't log in, my phone crashes.",ACCOUNT,weak_label,,
169,62299,@AmazonHelp It’s now 8:03. I’ve yet to see the packages that were promised by 8. The gps tracking says there is one delivery before mine. I️ LIVE LESS THAN 10 MILES FROM THE WAREHOUSE. Can I️ just pick them up there next time,DELIVERY_TRACKING,weak_label,,
170,96724,"@AmazonHelp  @115821 placed an order, paid for expedited shipping. Wasn't delivered by 9PM as promised. How do I request refund of paid shipping that didn't happen? Thanks.",REFUND,weak_label,,
171,17227,"@AmazonHelp This is very irritating. When I request a call, each time on the call it says, you don't have any order. For more info visit website. Poor!",,unlabelled,,
172,419611,"@AmazonHelp i have not received this order yet
i paid 100rs extra for one day delivery.
#4__credit_card__ order ID https://t.co/hoTfYEyLes",PACKAGE_NOT_RECEIVED,weak_label,,
173,16122,@AmazonHelp Bought a washing machine from Amazon and had a nightmare getting it installed. Neither you guys or the brand was helpful.,,unlabelled,,
174,1148731,"@AmazonHelp Package was opened by neighbour!This time package not delivered,e mail received saying unable to deliver.Called to query,stressed safe place",DELIVERY_INSTRUCTIONS,weak_label,,
175,760418,"@AmazonHelp Very ridiculous service
I still not received my order...
Contacted to Amazon care more than 10 times each morning evening but ..",PACKAGE_NOT_RECEIVED,weak_label,,
176,4857,@AmazonHelp USAs Amazon. Com,,unlabelled,,
177,105006,"@AmazonHelp my order shipped on Monday and was due today, the shipping info has nothing more than passed to carrier since the apparent dispatch. Ru able to look into this more? Thanks",ORDER_DISPATCH,weak_label,,
178,16792,"@AmazonHelp All m getting is apologies but no refund.. everything is online, unable to understand the delay!!",REFUND,weak_label,,
179,419240,@AmazonHelp @115850 ur delivery staff falsely update delivery status as addressee not available if they can not make  delivery on time 1/n,DELIVERY_INSTRUCTIONS,weak_label,,
180,99782,"@AmazonHelp No one knows how to order a return prepaid UPS label, no one knows it is a return of a replacement item, there is a language/accent barrier.",RETURN,weak_label,,
181,1068759,@AmazonHelp Your driver lied and claimed that my building couldn’t be accessed despite being given delivery instructions. On a time sensitive package.,DELIVERY_INSTRUCTIONS,weak_label,,
182,182838,@AmazonHelp Now that has failed a customer service manager has cancelled my order and rebooked it as he recons it has been lost or misplaced,ORDER_CANCELLATION,weak_label,,
183,2598,@AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.,,unlabelled,,
184,16888,@AmazonHelp As compensation you are giving me 500 InR in account.. shame &amp; unethical...,,unlabelled,,
185,11339,"@AmazonHelp お答え、どうもありがとうございました。
出品者を確認の上、これからも利用させて頂きます。",,unlabelled,,
186,176437,@AmazonHelp I have already emailed seller with no reply,SELLER,weak_label,,
187,59561,@AmazonHelp still no delivery or sign of refund. Absolute joke!,REFUND,weak_label,,
188,12529,"@AmazonHelp Nobody has called till now, why are you sending fake replies",,unlabelled,,
189,954021,@AmazonHelp @346377 @AmazonHelp this link you provided requires us to sign in. My account has been hacked and I cannot sign in. I have tried skip login also,ACCOUNT,weak_label,,
190,18125,@AmazonHelp The package will be returned to us within 5 business days after two unsuccessful delivery attempts. ...4/4 WTF! NO DELIVERY ATTEMPT MADE,RETURN,weak_label,,
191,11612,"@AmazonHelp いえいえ、Amazonさんこそとばっちりの迷惑かけられてお疲れ様ですm(__)m 

詐欺軍団はあの手この手で迷惑極まりないですねヽ(`Д´)ﾉﾌﾟﾝﾌﾟﾝ",,unlabelled,,
192,1693666,@AmazonHelp It's always Amazon Logistics. Never reads the delivery instructions.,DELIVERY_INSTRUCTIONS,weak_label,,
193,427767,@AmazonHelp Just to prove how long my order have been delayed,DELIVERY_DELAY,weak_label,,
194,37636,@AmazonHelp Yr link: 'track package' page: tells me the package was handed to resident: delivery card indicates otherwise. No contact option = unhelpful https://t.co/sfVPWgKmCR,DELIVERY_TRACKING,weak_label,,
195,42514,@AmazonHelp Hi @AmazonHelp I’m still waiting on a package and no reply from the seller. Can you help?,SELLER,weak_label,,
196,75997,"@AmazonHelp when give my refund 
Order date

03-Oct-2017

Order #

404-4257423-7818717",REFUND,weak_label,,
197,2176529,"@AmazonHelp Account hacked, email address changed, can’t verify ‘new’ email address because I don’t know it!",ACCOUNT,weak_label,,
198,11081,"@AmazonHelp At time of order, del date was 10/29. Carrier is AMZL US.",,unlabelled,,
