conversation_id,customer_tweet_id,support_tweet_id,customer_message,support_response
2420292,2420290,2420293,@AmazonHelp 171-0453613-0568340,@695257 Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^PB (2/2)
877629,877612,877620,@AmazonHelp Still don’t have any clue on the status of my order placed 27 days back. What is stopping you to update atleast a status on when and where ?,@192844 I understand you're upset with us. You must have received an email correspondence from our social media team by now. 1/2 ^NK
382579,382562,382563,@AmazonHelp It will be there Sunday. Errr..It will be there Monday. Errr...We can send another TV?,@206695 Did they offer to cancel the order and place another for the same item? ^JJ
1381520,1381528,1381530,@AmazonHelp I have drop the courier to the bluedart. Plz contact with them and initiate my refund. @AmazonHelp,@219482 We've sent a correspondence to your registered email address. Kindly reply to the same for further assistance on this. ^AU
1576222,1576221,1576223,@AmazonHelp Nah im ok thanks. I just find it funny because ive been looking at new games but you offer me Fifa 11 lol 😂,@485636 Yeah I would agree that game is somewhat old 😂 🤣 ^CR
508194,508190,508188,"@AmazonHelp Thanks for the reply.  On the phone with you guys right now - hope to get it worked out soon.  3 delayed deliveries, one of which was supposed to be delivered yesterday and still isn't here today.",@236681 Please keep us in the loop with how the call goes. Thanks! ^DO
398814,400303,400304,@AmazonHelp @115850 the issue is of not the refund im asking how can you sell such fake products i want a new and original product at my doorstep,@206514 Please reply to our email correspondence with further query on this and we'll be happy to help further accordingly. ^AB
292285,292282,292279,"@AmazonHelp About the 5th time we got a ""attempted delivery"" notification at the end of a day/shift when it clearly/definitely was not the case",@185613 I'm sorry to hear this! Do you notice it happening with a particular carrier? ^WJ
2117743,2117742,2117744,"@AmazonHelp Thanks for the reply. After I sent the tweet, a neighbour 5 houses away delivered it. I had no delivery notice to tell me where it was.","@624153 Thanks for the update, Joe! Please loop us in anytime you feel the need as we'll do what we can to help. Enjoy! ^TM"
2804235,2804234,2804236,@AmazonHelp The latest Android one. There used to be a drawing pen option here https://t.co/d8s1AEus6N,"@782179 Hey, Harley! What Android device are you using? ^LA"
124730,124736,124737,"@AmazonHelp ありがとうございます。
できました！30日間無料に入りました！",@143940 ご登録いただきありがとうございます！ぜひお楽しみください( *• ̀ω•́ )b SK
957515,957519,957520,@AmazonHelp I give up now. Removing the item from my wish list. https://t.co/kpHzTPwb3v,"@347194 Apologies for the experience, Sourabh. Please reach us from here: https://t.co/rS49hgaADF we'll check and assist. ^SV"
1564983,1564979,1564981,"@AmazonHelp What mentioned time?? 
3-5 days or 10-15 days","@483174 I get your concern, Diwakar. Refund time lines depend on your bank. Please refer here: https://t.co/AWgksb6tSK ^SV"
439299,439285,439287,"@AmazonHelp Sirs, link doesn't work, ask your team to call me at 91 9930753826",@219328 Kindly try this link https://t.co/vlvfJr4nN9 &gt; sign in &gt; select issue code &gt; select phone  to arrange call back. ^SG
246388,246382,246383,@AmazonHelp Pero ahora son la mitad. Y creo que la única manera de cambiar es protestar. Pero  compañías como vosotros logran hoy día los cambios.,"@174523 Es muy importante recibir tu feedback, en caso de que necesites asistencia estamos aquí siempre para ayudarte. ^VM"
354014,354008,354006,@AmazonHelp C'est qd mm discriminatoire. J'ai rarement fait d'achats de plus de 50€ et ce n'est que mtn qu'on me dit que je ne peux laisser d'avis.,@200163 ..qui doit dépasser 50€(Cela ne concerne pas les questions posées sur le site). 2/2 ^MH
1278082,1278071,1278069,"@AmazonHelp Yes
Have done whatever I could.",@415149 You'll receive an email in response to the details that you filled in the link. Keeping checking your emails. ^NR
1041252,1041241,1387330,"@AmazonHelp 3 DAYS, NOT A SINGLE UPDATE OF THE STATUS OF MY ORDER. WHAT THE FUCK IS THIS?",@366269 I get your disappointment regarding the delay. We're following up on this. We'll update you. ^SG
223887,223892,223894,@AmazonHelp I’m sure I’m not the only one that thinks that. Thanks for your help!! God bless,"@169497 It was our pleasure to assist, Erin! Pls don't hesitate to reach out if we can ever be of assistance! We're here for you! ^KN"
1254167,1254147,1254149,@AmazonHelp https://t.co/6fLBNDgeEA,@383795 Apologies for the confusion. Kindly reply to the email you've received from our team for further assistance. ^MM
2633048,2633047,2633046,@AmazonHelp https://t.co/HICb3FSFFT,@743446 Thanks for letting us know! Was this order shipped out by us or a seller on our site? We have that information here: https://t.co/aaDyEz1VgE ^BL
1657867,1657866,1657868,@AmazonHelp It says AMZL US,@458406 Thank you for letting us know! You can provide your carrier feedback here: https://t.co/nuAqQ7sA1P ^EB
2285398,2285397,2285399,@AmazonHelp thank you!,@664115 Enjoy the rest of the night! Let us know if you need anything else. ^EP
1044195,1044197,1044198,@AmazonHelp Unfortunately not. It was ordered from my friends account,@366907 Please have your friend reach out to us directly and we will try to correct this for you. ^CR
352096,352105,352107,@AmazonHelp for d last time m telling tat link does not work just give me call back thru a leadership team member else u ll be in trouble,@199742 I'm adding the link again here: https://t.co/GIJyeYqKE0. Please use a different browser. ^HN
2959945,2959944,2959946,"@AmazonHelp I ordered a package 11/22 using prime. It was lost/delayed. The initial delay was not an issue. However I need it 12/1. I called today for a way to fix the situation. A replacement was shipped and I was told it would be here 12/1. However, it now scheduled to arrive 12/2.",@816929 I'm so sorry! I understand how frustrating this can be. Please keep us posted on the arrival of your replacement! ^SW
2115524,2115518,2115520,@AmazonHelp Obrigado pela atenção !,"@623652 Imagina! Sempre que precisar, pode contar com a gente! ^HC"
1610696,1610693,1610694,@AmazonHelp Dalo por hecho 😉✨,@494421 Estaremos ansiosos esperando la foto. ❤ ^DA
255728,255727,255729,"@AmazonHelp Ich bezahle Geld, um Serien, die ich sehen will, wann ich will, wo ich will zu gucken. Werbung (jegl. Art) sollte vermieden werden.",@176824 Dein Feedback wurde bereits von ^MI weitergegeben. Ich wünsche dir noch einen schönen Abend! ^DW
2303622,2303617,2303615,"@AmazonHelp Non pas particulièrement, juste qu’il y a encore quelques mois quand on passait une commande chez vous on recevait le colis dans les 2-3 jours, et aujourd’hui si on est a pas Prime on nous annonce une livraison pour 7 jours après, malgré la dispo en stock des produits… 🙄","@668431 J'en suis navrée, la majorité des colis sont livrés à temps, ceci dit ,il arrive des fois que des colis arrivent en retard pour des raisons hors de notre volonté, je vous  remercie sinon pour votre avis qu'on ne manquera pas de remonter afin d'améliorer cela. 
^KE"
1592451,1592449,1592450,@AmazonHelp still my refund not credited. yesterday is the refund date but no credit. and i ask yesterday customare care they are told me go to nearest bank and tell the  reference number he will help you. what is this sir all your side misstake but all problem handle me only.. very bad sry?,"@119214 Apologies for the hassle. Please contact your bank customer service and dispute the transaction as 'refund not processed'. At that time, they will see a pending refund and will follow the path back to our payment processor to locate the refund.  ^SC"
790171,790170,790172,@AmazonHelp I've already made contact and they were very helpful but wernt able to explain why you charge outside of London. Could you please explain.,"@308428 I'm sorry, I don't have any info available on that:. ^AS"
821190,821189,821191,"@AmazonHelp But I ordered it originally said it’d be here by Friday, why did it change?","@315599 I understand your concern. To confirm, what was the delivery date in your confirmation e-mail: https://t.co/cZIAVITC4L? ^GM"
2886446,2886443,2886441,"@AmazonHelp No aún no, si me saliese que se ha entregado y no lo han hecho os aviso a ver si me podéis ayudar, gracias por comtestar!","@793976 Con mucho gusto, estamos para ayudarte. 
En caso de que necesites contactar con el transportista, puedes encontrar la información mediante el siguiente enlace: https://t.co/3MiRjOgLzE

Por favor mantennos infomados.
Un saludo, 
^DB"
546386,546385,546387,"@AmazonHelp Hi, yes it’s the movie Collateral Beauty.","@247051 Truly sorry for any inconvenience caused, Sam. With Twitter, we're unable to access your account or order details. Please, allow us to explore options together here: https://t.co/197zeElhJC ^JE"
2373396,2373394,2373393,"@AmazonHelp I can't find it anywhere in my orders, I only see it on my bank statement.",@118235 Please reach out directly to us using the link provided by ^MV so that we can take a closer look. ^TN
19137,21479,21480,@AmazonHelp #403-8592504-0317160. you can check my order no.,"@120261 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.(2/2)^GD"
985494,985492,985491,"@AmazonHelp ありがとうございます！設定できました！
また機会があれば使わせていただきます😊",@353578 リプライいただきありがとうございます。また機会がございましたら、プライムのご利用をお待ちしております m(_ _)m HM
1173846,1173848,1173849,"@AmazonHelp ahh, eu comprei achando que daria pra ler no escuro. agora já foi... obrigada pela atenção.","@396098 Entendi. Se você ainda não recebeu seu Kindle, saiba que você pode recusar a entrega do pacote. ^CR"
2882577,2882592,2882593,@AmazonHelp I have provided the required details. I need my item delivered by today itself. Please see to it. I'll be grateful if you do. These kind of negligent act puts your credibility at stake.,"@799757 Thanks for the confirmation, Aurolina. Our team will check and get back to you with an update soon. Request you to wait. Also, I'll ensure to forward your feedback to the concerned team internally. ^NK"
467517,467479,467478,@AmazonHelp Nice Joke @115850,@226277 Sorry to know about the delay. Please understand we can't gain access to your account details via Twitter and help you with a resolution here. Kindly reply to the last email you've received from our team and we'll get back to you. ^KA
468820,468819,468821,@AmazonHelp Hi ya. Not to worry found the answer on your website. It is back out for delivery today. Thanks,@226624 Glad to hear it! If you need anything else please do let us know. ^KI
2084541,2084544,2084545,@AmazonHelp Thanks for the acknowledgement of the issue.,@311508 We'll ensure better experience &amp; necessary actions will be taken for improvements. ^MJ
576037,576039,576040,@AmazonHelp Amazon Canada.,@255537 Have you contacted us directly to see how we can help? Just click on the link: https://t.co/3pBuw1SV0L ^BD
1757988,1757986,1757985,"@AmazonHelp Royal Mail and Amazon Delivery. Tracking says they were handed to me, but I wasn't home!","@529269 Thank you for that information, Ray! Let's take a look in real-time. Please reach out here: https://t.co/JzP7hlA23B ^HM"
609333,609329,609328,@AmazonHelp Je n'ai ni l'un ni l'autre mais la notification amazon que le colis est livré,"@264853 Une enquête doit donc être ouverte auprès du transporteur. Veuillez prendre contact avec notre SAV via ce lien :  https://t.co/hgIrz98cdI
^ARC"
1255688,1255672,1255674,@AmazonHelp Ok will get back to you in sometime if that's ok with you ??,"@159105 Sure, no problem at all. You can reach out to us at your convenient time. ^PS"
1490162,1490164,1490165,@AmazonHelp Shouldn't you know? It's here: https://t.co/GqtKdNdeps. Now saying 1-2 month dispatch; it didn't a month ago when I pre-ordered it.,"@466084 Hey Ben, the website always displays the most up to date info. Apologies for the inconvenience. ^TP"
109984,109982,109981,@AmazonHelp Amazon Logistics https://t.co/M5ZXkLjRbI,@140412 Merci de vous rapprocher de notre service client via https://t.co/hgIrz98cdI Ce dernier effectuera les vérifications nécessaires concernant cette livraison ^KD
2161762,2161759,2161760,@AmazonHelp Same standard reply. So now I again have to go thru the same exercise again for what? Classic case study of inefficient and pathetic business operations,@522111 to you as soon as we receive an update from them. 2/2 ^SH
2597093,2597092,2597094,@AmazonHelp __email__ this is my account through which i paid for 1 ticket using ampay but amount was deducted for two tickets....,"@735321 Sorry to know your having trouble with the payments. Kindly connect with our team here: https://t.co/TdDksLo6Mf. We'll look into it. Please don't provide your email details, as we consider it to be personal info. Our Twitter page is visible to the public. ^PS"
1055233,1055237,1055239,@AmazonHelp I spoke to an adviser today &amp; he confirmed replacement items would be sent to me &amp; I’d receive email confirming - I haven’t! Help please 😱,@369334 (1/2) I'm sorry to hear you haven't received an e-mail confirmation yet! We have no access to your account through social media.
1227257,1227254,1227253,"@AmazonHelp Bonsoir, merci pour votre réponse ! Écoutez, justement, impossible de trouver où que ce soit le nom du livreur, mais j'imagine que c'est GLS",@407898 Je vous suggère de contacter notre SAV pour vérifier directement et vous proposer une solution : https://t.co/kE3ACN2D0O. ^RA
99812,99811,99813,@AmazonHelp Ha sido abrir el chat porque no era claro el seguimiento y me ha llamado para concretar la entrega. Amazon solucionando problemas antes de que los haya https://t.co/JS4kyUJbWq,"@137851 ¡Ese es nuestro Superpoder! ⚡️📦 Puedes mantenernos al tanto de esta entrega, Marsh. ^VL"
2376130,2376127,2376126,@AmazonHelp 会員タイプがプライムになっていました。支払いを行なっていないのですが。,@685369 (1/2)プライムに登録されている場合、ご指定のクレジットカードに請求が発生している状況かと存じます。請求のタイミングや締め日によっては、翌月以降の明細に反映される場合がございます。請求につきましては、お手数ですがご利用のカード会社までお問い合わせください。 YM
2176511,2176509,2176507,@AmazonHelp i’m the only person with access and i’ve sent an email to support about it before,@638004 How long ago was that e-mail sent? Responses to e-mail usually take 24-72 hours. ^LB
2166477,2166481,2166482,"@AmazonHelp Yep emailed them twice, no response. Not impressed. Can't you access a system to see where the order is? Can't anyone?",@497245 That is strange! We would like to look at this issue with you in real time. Please contact us via phone or chat here: https://t.co/JzP7hlA23B ^LS
248141,248130,248131,"@AmazonHelp ok, os aviso en cualquier caso, gracias.","@174951 Con gusto, Benja. Estaremos pendientes de tu caso. ^LG"
861246,1501875,1501872,@AmazonHelp FRM many days I am getting only this reply from fb team. But I get no reply @115850,"@468600 Apologies, please share the details using the link here: https://t.co/cQVomR1pWz and we'll look into this for you. ^SK"
1421966,1421944,1421946,"@AmazonHelp Hello, I understand that. The delivery tracker was showing that it may get delayed till Sunday. Please deliver it TODAY and keep your words.",@450492 As requested earlier kindly wait until 8 pm and I'm positive your order will be delivered. ^SH
956254,956253,956255,@AmazonHelp Yes i have shared the details.  I am getting irritated now because of this. I don't want to call you guys after every 4 or 5 hours. Pls chek,@310866 Thank you for sharing the details. We shall connect with you soon. ^SH
325372,325375,325376,@AmazonHelp I want to buy 'the four hour work week' but it is beyond my budget.;),@193510 Wish we could do something here. But our hands are tied. You can save it in your 'saved item' list and buy later on ^CB
1488743,1488730,1488731,@AmazonHelp Something like my bank account shows £10.51 taken  by https://t.co/aMa3XiJipW Luxembourg,@465795 Have you placed a recent order? You can check here:  https://t.co/aaDyEz1VgE ^MW
2795363,2795349,2795351,@AmazonHelp It’s not letting me log in for some reason. Where does the link take me? Customer service?,"@266394 It takes you to an area to give information to our specialist team. Which site do you usually use? amazon.uk, https://t.co/hSs9w8Xq15, etc. ^BE"
1187076,1187078,1187080,"@AmazonHelp Necesito que el producto llegue en la fecha original, 27-10. Gracias.",@399139 Nuestro equipo responsable te va a responder en un plazo de 24-48 horas laborables. Gracias por tu paciencia. ^JJ
2692730,2692729,2692731,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action.",@270228 Canceling an Amazon Prime membership can be done from the account. Learn how to cancel here: https://t.co/X3vmCKUmmJ ^JF
2904965,2905004,2905005,@AmazonHelp Ok thanks - why does package have 'Amazon Prime' tape around it yet not a member??,"@134104 This is Amazon's unique tape for our shipping boxes, not an indication of your Prime status. ^ST"
1426128,1426127,1426129,@AmazonHelp ありがとうございます…！確認してみます…！,"@451312 お手数をおかけいたしますが、よろしくお願いいたします。メッセージセンター：https://t.co/G3XMQClxvl
なお、当サイトからお送りするメールのドメインはこちらになりますので、ご設定の際にご参照ください。 https://t.co/iSTesUBtCk"
257677,257676,257678,@AmazonHelp I’m anxious with phone calls. So no I’m not going to phone you. I can DM you instead if you’re gonna be able to help that way?,"@177294 We can't access your account, but you can DM us and we'll help all we can! You can also chat with us at the link above. ^LB https://t.co/1XyLaGkcaN"
2805877,2805874,2805875,@AmazonHelp ya lo hice y me dijeron que la entrega se podria efectuar entre las 7pm y a mas tardar 9:30pm,"@270755 Ya veo Javier, a través de este medio no tenemos acceso a tu cuenta. Te recomendamos contactar nuevamente con nuestro servicio al cliente para que puedan realizar las acciones necesarias en tu envío. -Priscila C"
2573820,2573823,2573824,@AmazonHelp This is what it states on their website: https://t.co/c33ssSAyIJ,@462357 I'm sorry for the trouble! We don't have access to your account via Twitter. Please reach out to us here so we can look into this together: https://t.co/hApLpM3Ejd ^MO
386876,386875,386877,"@AmazonHelp There is no such option for me, and i have send a mail almost 24 hours ago with no response, I need this fixed asap please.",@207581 You will get an answer as soon as possible. Kind regards ^MF
354014,354008,354010,@AmazonHelp C'est qd mm discriminatoire. J'ai rarement fait d'achats de plus de 50€ et ce n'est que mtn qu'on me dit que je ne peux laisser d'avis.,@200163 Utilisez-vous un nouveau compte pour publier votre commentaire ? Car c'est l'addition des montants des commandes validées...1/2
364025,364030,364032,@AmazonHelp Supposed to arrive tomorrow by 8pm via USPS.,"@202273 I'm very sorry. If we've missed the date provided in our confirmation e-mail, please let us know: https://t.co/hApLpMlfHN ^WT"
181228,181227,181229,@AmazonHelp ご連絡いただきありがとうございます。今確認したところ、出品者より、注文後に完売してしまった旨のメール連絡がきていました。当方のメール確認が遅かった次第です。お騒がせいたしました。,@158554 ご確認いただきありがとうございました。この度は当サイトをご利用いただきましたのに商品をご用意することが叶わず心苦しいのですが、ご利用いただく中でご不明な点がございましたらご遠慮なくご質問ください。今後ともどうぞよろしくお願いいたします。SK
1005116,1005110,1005111,@AmazonHelp Finally received the product. But it is of no use for me as i ve to gift it to someone else. Anyway thanks 😒,@353496 I'm sorry for this experience. We will consider this instance as feedback and ensure to pass it on internally. ^RW
2628931,2628930,2628932,@AmazonHelp How long I have to wait??,"@742476 I understand your concern. However, did you happen to report it to our support team using the link provided earlier? ^KH"
1353512,1353521,1353522,"@AmazonHelp Así lo he hecho, muchas gracias","@435660 Con mucho gusto. SI necesitas asistencia adicional, no dudes en contactarnos, Juanky. ^LG"
1432350,1432348,1432347,"@AmazonHelp hehe 🙃 he's not born yet, but I just had to get him the Bouncer, been getting loads of things on Amazon, I love it 😍😁",@452595 Ah lovely  - Mammy to be deserves a little pampering ! 😜😀 Pls fill in your details for a gift: https://t.co/tkLCr7DNil  ^TD
