example_id,customer_message,actual_intent,nearest_reference_intent,similarity_score,nearest_reference_message
26,@AmazonHelp No delays. It just didn't ship until today. I ordered it on 10/4 and it was supposed to be here today.,ORDER_DISPATCH,DELIVERY_DELAY,0.1832,"@AmazonHelp Thanks for the reply.  On the phone with you guys right now - hope to get it worked out soon.  3 delayed deliveries, one of which was supposed to be delivered yesterday and still isn't here today."
27,@AmazonHelp iOS. It worked a couple of weeks ago.,DEVICE,DELIVERY_DELAY,0.0906,"@AmazonHelp Thanks for the reply.  On the phone with you guys right now - hope to get it worked out soon.  3 delayed deliveries, one of which was supposed to be delivered yesterday and still isn't here today."
28,@AmazonHelp Vizio smart TV - there is an app but quality and crash rate are terrible. Functions also do not work with other remotes as most apps do,DEVICE,SELLER,0.0539,"@AmazonHelp Sorry, forgot to mention. I do not use seller central. I am a local seller. selling books only in Mumbai."
29,"@AmazonHelp Sorry, we live 200 miles apart and she is a 74 year old lady who is very upset by this.  Please can I speak to someone on the phone?",CUSTOMER_SERVICE,FEEDBACK,0.0669,@AmazonHelp Finally received the product. But it is of no use for me as i ve to gift it to someone else. Anyway thanks 😒
30,"@AmazonHelp Si quito mis suscripción ahora, una vez hecho el pedido y a la espera de recibirlo, se aplica algún plus a mi pedido?gracias",OTHER,DELIVERY_TRACKING,0.0774,"@AmazonHelp No aún no, si me saliese que se ha entregado y no lo han hecho os aviso a ver si me podéis ayudar, gracias por comtestar!"
31,@AmazonHelp Y can't you access my details while you can access my messages here?,ACCOUNT,DELIVERY_TRACKING,0.1834,"@AmazonHelp Yep emailed them twice, no response. Not impressed. Can't you access a system to see where the order is? Can't anyone?"
32,@AmazonHelp Your response only says we will reach out to you.,CUSTOMER_SERVICE,CASUAL_ENGAGEMENT,0.1097,@AmazonHelp Ok will get back to you in sometime if that's ok with you ??
33,"@AmazonHelp O status é em processamento. Eu achei estranho pois não pediu o meu código de verificação do meu cartão de crédito, apenas digitei o número do meu cartão e concluí o pedido. Por isso estou confuso se vai ser ou não debitado.",PAYMENT,CASUAL_ENGAGEMENT,0.031,@AmazonHelp Dalo por hecho 😉✨
34,@AmazonHelp @115821 @AmazonHelp @115850 customer care executives are behaving like Dons .. insisting me for refund ...pls reply,CUSTOMER_SERVICE,CUSTOMER_SERVICE,0.0802,"@AmazonHelp Unfortunately your customer representative didn't solve my request.
#NotAGreatIndianSale 😑😐
cc: @115850 @115821"
35,@AmazonHelp You guys keep messing up my orders and driving me crazy.,OTHER,PAYMENT,0.1216,"@AmazonHelp I can't find it anywhere in my orders, I only see it on my bank statement."
36,@AmazonHelp Yes. Thank you. It will arrive tomorrow. Unfortunately too late for a trip I'm taking. Caught up in the Black Friday madness over the weekend I guess 🤔,DELIVERY_DELAY,CASUAL_ENGAGEMENT,0.1606,@AmazonHelp thank you!
37,@AmazonHelp It says the 2nd of December....2 days an still not dispatched yet it's been 5 days it didn't take this long when I ordered it off the American site,ORDER_DISPATCH,DELIVERY_DELAY,0.1751,@AmazonHelp It just says “Delivery date pending. We'll email you as soon as we have a delivery date.” When I ordered it said 4-5 days. It has now been 8
38,@AmazonHelp Spoke to yr CS team who helped as much as poss although cld not change my Xbox OneX delivery address!  Still feel angry at being lied to tho,DELIVERY_INSTRUCTIONS,DELIVERY_PROBLEM,0.0802,"@AmazonHelp Shows as ""In Transit: Delivery attempted"", but also says it tried to deliver to a business address, but I don't live at a business address?"
39,@AmazonHelp After dealing w/this an hour I was hung up on by Mike. He refused to transfer me to someone in the US &amp; told me no one else will talk to me.,CUSTOMER_SERVICE,ORDER_CANCELLATION,0.1254,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action."
40,"@AmazonHelp ok, so I purchased a motinor which is defective and you guys considering it to be replaced rather than retrun which in turn I agree to order from amazon again buy not the same brand as box piece is defective, I want different brand option. Can you help me with this issue.",OTHER,CASUAL_ENGAGEMENT,0.0891,@AmazonHelp Ok will get back to you in sometime if that's ok with you ??
41,@AmazonHelp I had dropped email pl check it,CUSTOMER_SERVICE,CUSTOMER_SERVICE,0.1267,@AmazonHelp I had already done that. But your team said they had investigated &amp; could not help further.
42,@AmazonHelp Pues dice vendido por InLife MX,SELLER,CASUAL_ENGAGEMENT,0.0836,@AmazonHelp Dalo por hecho 😉✨
43,@AmazonHelp No according to my app it's still out for today. No explanation of a delay either. Why is it now 2 days late??,DELIVERY_DELAY,RESOLUTION_CONFIRMATION,0.088,@AmazonHelp Hi ya. Not to worry found the answer on your website. It is back out for delivery today. Thanks
44,"@AmazonHelp Yes they were, I have private messaged you. You did this to a Harry Potter book. Be ashamed.",CUSTOMER_SERVICE,PAYMENT,0.0927,@AmazonHelp I've already made contact and they were very helpful but wernt able to explain why you charge outside of London. Could you please explain.
45,@AmazonHelp Tomorrow. But that isn't the issue. Why would my package even leave IL if it's being shipped to an IL address?,DELIVERY_PROBLEM,RESOLUTION_CONFIRMATION,0.1009,@AmazonHelp Thanks for the acknowledgement of the issue.
46,@AmazonHelp I already replied,CUSTOMER_SERVICE,CUSTOMER_SERVICE,0.0585,@AmazonHelp I had already done that. But your team said they had investigated &amp; could not help further.
47,@AmazonHelp I sent this in yesterday on your site. Haven't heard anything yet. But I got 8 more emails from sellers this morning.,CUSTOMER_SERVICE,CASUAL_ENGAGEMENT,0.059,"@AmazonHelp hehe 🙃 he's not born yet, but I just had to get him the Bouncer, been getting loads of things on Amazon, I love it 😍😁"
48,@AmazonHelp It's very troubling you need me to go out of my way to write to you and tell you that he packaging can be improved upon. Is there not an evaluation team capable of identifying that?,OTHER,CUSTOMER_SERVICE,0.1047,@AmazonHelp I’m anxious with phone calls. So no I’m not going to phone you. I can DM you instead if you’re gonna be able to help that way?
49,@AmazonHelp Still order not receive. it should deliver on 16 oct today is 18 oct. I call customer care they do not have any reason why it was delay,DELIVERY_DELAY,DELIVERY_TRACKING,0.0936,@AmazonHelp Still don’t have any clue on the status of my order placed 27 days back. What is stopping you to update atleast a status on when and where ?
50,@AmazonHelp And note that's luggage. Luggage that was going to be used on Monday AM.,DELIVERY_DELAY,CUSTOMER_SERVICE,0.0867,@AmazonHelp I’m anxious with phone calls. So no I’m not going to phone you. I can DM you instead if you’re gonna be able to help that way?
51,@AmazonHelp Il c’est perdu ou pas ? https://t.co/Z50YYKFA1W,PACKAGE_NOT_RECEIVED,INSUFFICIENT_CONTEXT,0.1542,@AmazonHelp https://t.co/6fLBNDgeEA
52,@AmazonHelp Clicked on link and it says can't find @146898 !!!!!  Hope that's not the case tomorrow,WEBSITE_OR_APP,PAYMENT,0.1216,"@AmazonHelp I can't find it anywhere in my orders, I only see it on my bank statement."
53,"@AmazonHelp Sony Bravia 4K, Baujahr ende 2016",DEVICE,CASUAL_ENGAGEMENT,0.0053,@AmazonHelp thank you!
54,@AmazonHelp There is no mail which I got from you today,OTHER,CUSTOMER_SERVICE,0.201,"@AmazonHelp There is no such option for me, and i have send a mail almost 24 hours ago with no response, I need this fixed asap please."
55,"@AmazonHelp jedes mal....
und auch nächstes mal 

Der Bote will einfach nicht 

wohne ja auch oberhalb der 10 Etage 

da hat er bestimmt Höhenangst....",DELIVERY_PROBLEM,FEEDBACK,0.0228,"@AmazonHelp Ich bezahle Geld, um Serien, die ich sehen will, wann ich will, wo ich will zu gucken. Werbung (jegl. Art) sollte vermieden werden."
56,@AmazonHelp Yes it’s enabled,ACCOUNT,INSUFFICIENT_CONTEXT,0.2211,"@AmazonHelp Hi, yes it’s the movie Collateral Beauty."
57,@AmazonHelp Livraison estimé le 16 oct,DELIVERY_TRACKING,DELIVERY_DELAY,0.0469,"@AmazonHelp Non pas particulièrement, juste qu’il y a encore quelques mois quand on passait une commande chez vous on recevait le colis dans les 2-3 jours, et aujourd’hui si on est a pas Prime on nous annonce une livraison pour 7 jours après, malgré la dispo en stock des produits… 🙄"
58,@AmazonHelp Continuosly getting same revert its more than a 1.5 month when i get my money back u told me on 8th of last mnth returning in 2-4 hours https://t.co/fD7GCOLmti,REFUND,ORDER_DISPATCH,0.0918,@AmazonHelp Shouldn't you know? It's here: https://t.co/GqtKdNdeps. Now saying 1-2 month dispatch; it didn't a month ago when I pre-ordered it.
59,"@AmazonHelp Normalement aujourd'hui, normalement.... mais je prends ce colis en exemple, Colisprive n'est pas un bon livreur, très souvent en retard",DELIVERY_DELAY,DELIVERY_DELAY,0.1145,"@AmazonHelp Non pas particulièrement, juste qu’il y a encore quelques mois quand on passait une commande chez vous on recevait le colis dans les 2-3 jours, et aujourd’hui si on est a pas Prime on nous annonce une livraison pour 7 jours après, malgré la dispo en stock des produits… 🙄"
60,@AmazonHelp they tried to deliver today but thats the same problem I had for two weeks that they only try to redeliver instead of bringing it to a post office or whatever because I'm not home before 5,DELIVERY_INSTRUCTIONS,DELIVERY_PROBLEM,0.0937,"@AmazonHelp Shows as ""In Transit: Delivery attempted"", but also says it tried to deliver to a business address, but I don't live at a business address?"
61,@AmazonHelp Thanks. I hv reported and discussed with CC exec. He promised me to resolve issue in next 2 hrs. Let’s see,CUSTOMER_SERVICE,RESOLUTION_CONFIRMATION,0.099,@AmazonHelp Thanks for the acknowledgement of the issue.
62,"@AmazonHelp Can't u access through order I'd ....??
Just looping around same point .
#lostfaith @115851",ACCOUNT,DELIVERY_TRACKING,0.076,"@AmazonHelp Yep emailed them twice, no response. Not impressed. Can't you access a system to see where the order is? Can't anyone?"
63,@AmazonHelp Courier is going to be contacted and I've been told to allow 24 hours for a response which I will do because this is a christmas gift that cost a lot of money so I just want to know where it is!,PACKAGE_NOT_RECEIVED,FEEDBACK,0.104,@AmazonHelp Finally received the product. But it is of no use for me as i ve to gift it to someone else. Anyway thanks 😒
64,"@AmazonHelp that's just it, I can't get a tracking number from your website.",DELIVERY_TRACKING,FEEDBACK,0.1426,"@AmazonHelp Ok now that just sounds dumb. Not just that I don't get the product I want, but you get less money than you would."
65,"@AmazonHelp Je l'ai signalé au service client de twitch ici https://t.co/hdO6UWZn1X.
Dois-je le signaler également au votre ?",CUSTOMER_SERVICE,RETURN,0.1318,@AmazonHelp Pour que je puisse me faire rembourser sans problème sur l'article que je dois vous renvoyer que dois-je mettre en raison de renvoi ?
66,"@AmazonHelp It never was given, not that I remember. I pre-ordered them, so I expected them to arrive closer to the release dates. But now it's been weeks since their release and still no dispatch.",ORDER_DISPATCH,ORDER_DISPATCH,0.0982,@AmazonHelp Shouldn't you know? It's here: https://t.co/GqtKdNdeps. Now saying 1-2 month dispatch; it didn't a month ago when I pre-ordered it.
67,@AmazonHelp ah. C’est embarrassant! Et que se passe-t-il si le livreur débarque &amp; qu’il n’y a personne pr réceptionner ? (Je serai au ministère à Bercy),DELIVERY_INSTRUCTIONS,WEBSITE_OR_APP,0.1281,"@AmazonHelp Le site Web n'est pas utile. Alors, au lieu de vous aider à envoyer un email et j'espère que quelque chose se passe?"
68,"@AmazonHelp Not sure which carrier it is, but last time I ordered a Christmas present a couple of years ago, (a kindle fire) my account got hacked and my wife was left with a kindle she couldn’t use, after I had to get yet another replacement.",ACCOUNT,CASUAL_ENGAGEMENT,0.0876,"@AmazonHelp hehe 🙃 he's not born yet, but I just had to get him the Bouncer, been getting loads of things on Amazon, I love it 😍😁"
69,"@AmazonHelp It wasn’t explained to me , 2-3 different reasons are being given to me.",OTHER,PACKAGE_NOT_RECEIVED,0.1442,"@AmazonHelp Royal Mail and Amazon Delivery. Tracking says they were handed to me, but I wasn't home!"
70,@AmazonHelp But why aren't phones working?,DEVICE,DELIVERY_DELAY,0.1209,"@AmazonHelp But I ordered it originally said it’d be here by Friday, why did it change?"
71,"@AmazonHelp I've contacted you guys about it multiple times this year. Roughly 10-12 times this year, I've been on the phone with you guys for this, and it keeps happening. Why am I paying $100 for prime 2 day shipping, if it's only actually shipped 2 days occasionally. It's infuriating.",DELIVERY_PROBLEM,DELIVERY_DELAY,0.1337,"@AmazonHelp Thanks for the reply.  On the phone with you guys right now - hope to get it worked out soon.  3 delayed deliveries, one of which was supposed to be delivered yesterday and still isn't here today."
72,@AmazonHelp NEIN! 👎🏻,INSUFFICIENT_CONTEXT,CASUAL_ENGAGEMENT,0.0129,@AmazonHelp thank you!
73,@AmazonHelp Yes. Nothing helped. Next plz,PACKAGE_NOT_RECEIVED,RESOLUTION_CONFIRMATION,0.1221,"@AmazonHelp Yes
Have done whatever I could."
74,@AmazonHelp Es geht aber um Melia Pro Rewards?,INSUFFICIENT_CONTEXT,FEEDBACK,0.029,"@AmazonHelp Ich bezahle Geld, um Serien, die ich sehen will, wann ich will, wo ich will zu gucken. Werbung (jegl. Art) sollte vermieden werden."
75,"@AmazonHelp L'écran ne se déverrouille pas lorsque que je le touche, du coup, je ne peux pas accéder à mon colis.",DEVICE,FEEDBACK,0.1594,@AmazonHelp C'est qd mm discriminatoire. J'ai rarement fait d'achats de plus de 50€ et ce n'est que mtn qu'on me dit que je ne peux laisser d'avis.
76,@AmazonHelp Kindly share contact no as the website is not helping to relate my issue,CUSTOMER_SERVICE,RESOLUTION_CONFIRMATION,0.0657,@AmazonHelp Thanks for the acknowledgement of the issue.
77,"@AmazonHelp Nenhuma... comprei em pré-venda e no e-mail de confirmação fala que eu receberia uma nova mensagem com a data de esntrega, mas não recebi 😢",DELIVERY_TRACKING,DEVICE,0.0618,"@AmazonHelp ahh, eu comprei achando que daria pra ler no escuro. agora já foi... obrigada pela atenção."
78,@AmazonHelp 7 de noviembre,DELIVERY_TRACKING,FEEDBACK,0.0634,@AmazonHelp C'est qd mm discriminatoire. J'ai rarement fait d'achats de plus de 50€ et ce n'est que mtn qu'on me dit que je ne peux laisser d'avis.
79,@AmazonHelp *n'ai rien dit la a force ..... j'en ai marre de payer pour rien 😔,PAYMENT,FEEDBACK,0.0849,@AmazonHelp C'est qd mm discriminatoire. J'ai rarement fait d'achats de plus de 50€ et ce n'est que mtn qu'on me dit que je ne peux laisser d'avis.
80,@AmazonHelp Hi there! Yes raised it as delivery feedback  with each delivery and not had anything backand yes my safe place is at the back of the house which is accessible. Quite disappointing as if it then goes missing who take responsibility?,DELIVERY_INSTRUCTIONS,INSUFFICIENT_CONTEXT,0.1107,"@AmazonHelp Hi, yes it’s the movie Collateral Beauty."
81,@AmazonHelp @115821 Well I left bad feedback and amazon Rep called me 6 times in 4 minutes after 3AM including one call after I said I was sleeping,CUSTOMER_SERVICE,PACKAGE_NOT_RECEIVED,0.0562,"@AmazonHelp Royal Mail and Amazon Delivery. Tracking says they were handed to me, but I wasn't home!"
82,@AmazonHelp Already talk to CS GUY he hang up on me,CUSTOMER_SERVICE,FEEDBACK,0.0494,@AmazonHelp C'est qd mm discriminatoire. J'ai rarement fait d'achats de plus de 50€ et ce n'est que mtn qu'on me dit que je ne peux laisser d'avis.
83,@AmazonHelp It was marked as delivered at 12.27 yesterday afternoon.I have phoned your customer service twice and I'm always told the same thing.That it's been marked as delivered and they will investigate.But this is happening time and time again.,PACKAGE_NOT_RECEIVED,ORDER_CANCELLATION,0.1033,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action."
84,"@AmazonHelp No, no other options were offered, both members of staff were very unhelpful",CUSTOMER_SERVICE,PAYMENT,0.1082,@AmazonHelp I've already made contact and they were very helpful but wernt able to explain why you charge outside of London. Could you please explain.
85,@AmazonHelp Carrier as it was dispatched yesterday. https://t.co/B6iSP0gad2,DELIVERY_DELAY,SELLER,0.1566,@AmazonHelp https://t.co/HICb3FSFFT
86,@AmazonHelp I can’t see anywhere on the order where it allows me 2 make a claim! There’s nothing in there about claiming at all!,OTHER,PAYMENT,0.1368,"@AmazonHelp I can't find it anywhere in my orders, I only see it on my bank statement."
87,"@AmazonHelp By Amazon, says it is in Wigan at a parcel depot and there is a problem but it should have bn here on Oct 3rd",DELIVERY_DELAY,DELIVERY_DELAY,0.1056,@AmazonHelp I ordered something yesterday and I do have prime and the item was eligible for prime shipping but it says it won’t be here until the 10th
88,"@AmazonHelp Je vais faire ça, merci",RESOLUTION_CONFIRMATION,RETURN,0.1057,@AmazonHelp Pour que je puisse me faire rembourser sans problème sur l'article que je dois vous renvoyer que dois-je mettre en raison de renvoi ?
89,@AmazonHelp Nothing helpful - this needs escalating to your security team now.,ACCOUNT,WEBSITE_OR_APP,0.062,"@AmazonHelp Sirs, link doesn't work, ask your team to call me at 91 9930753826"
90,@AmazonHelp @115821 how long do you think it will take?,CUSTOMER_SERVICE,INSUFFICIENT_CONTEXT,0.2356,@AmazonHelp How long I have to wait??
91,@AmazonHelp Is it coming today as per promise? Today is last estimated date.,DELIVERY_TRACKING,DELIVERY_DELAY,0.0846,@AmazonHelp It just says “Delivery date pending. We'll email you as soon as we have a delivery date.” When I ordered it said 4-5 days. It has now been 8
92,@AmazonHelp No,INSUFFICIENT_CONTEXT,DELIVERY_TRACKING,0.2141,"@AmazonHelp No aún no, si me saliese que se ha entregado y no lo han hecho os aviso a ver si me podéis ayudar, gracias por comtestar!"
93,"@AmazonHelp No no, I mean is there a way I can add stuff to my girlfriend's account without being on her account.",ACCOUNT,ACCOUNT,0.0703,@AmazonHelp Unfortunately not. It was ordered from my friends account
94,@AmazonHelp Kindly tell me how 2400 pupkart MRP become 4600 rs on your site,OTHER,DELIVERY_PROBLEM,0.0634,"@AmazonHelp Thanks for the reply. After I sent the tweet, a neighbour 5 houses away delivered it. I had no delivery notice to tell me where it was."
95,@AmazonHelp .uk,INSUFFICIENT_CONTEXT,CASUAL_ENGAGEMENT,0.0136,@AmazonHelp thank you!
96,@AmazonHelp It doesn’t state a courier.. https://t.co/Qq79zAQlqY,DELIVERY_TRACKING,INSUFFICIENT_CONTEXT,0.1732,@AmazonHelp https://t.co/6fLBNDgeEA
97,@AmazonHelp No nothing at all,INSUFFICIENT_CONTEXT,DELIVERY_TRACKING,0.0814,"@AmazonHelp No aún no, si me saliese que se ha entregado y no lo han hecho os aviso a ver si me podéis ayudar, gracias por comtestar!"
98,"@AmazonHelp No, but I will now. Thanks.",RESOLUTION_CONFIRMATION,DELIVERY_TRACKING,0.0744,"@AmazonHelp No aún no, si me saliese que se ha entregado y no lo han hecho os aviso a ver si me podéis ayudar, gracias por comtestar!"
99,"@AmazonHelp お忙しいなかご丁寧にありがとうございます。
かしこまりました。
当方は騙される事なく無事でしたが本日の件は家族に話をして、連絡しないように伝えておきます。",RESOLUTION_CONFIRMATION,CASUAL_ENGAGEMENT,0.0065,@AmazonHelp thank you!
100,@AmazonHelp 11 Nov 2017,DEVICE,CASUAL_ENGAGEMENT,0.0571,@AmazonHelp Nah im ok thanks. I just find it funny because ive been looking at new games but you offer me Fifa 11 lol 😂
101,@AmazonHelp Yes - not once but many times. Not worth the $100/yr if you don’t honor! Had to have today. Now scheduled for Monday 5 day after ordering !,DELIVERY_PROBLEM,CUSTOMER_SERVICE,0.0835,@AmazonHelp Yes i have shared the details.  I am getting irritated now because of this. I don't want to call you guys after every 4 or 5 hours. Pls chek
102,@AmazonHelp Order number is 407-0590121-7161968,INSUFFICIENT_CONTEXT,DELIVERY_TRACKING,0.0415,"@AmazonHelp 3 DAYS, NOT A SINGLE UPDATE OF THE STATUS OF MY ORDER. WHAT THE FUCK IS THIS?"
103,@AmazonHelp Yesterday. Does that mean I will not be getting my camera because you guys are out of stock now?,ORDER_DISPATCH,CUSTOMER_SERVICE,0.1035,@AmazonHelp Yes i have shared the details.  I am getting irritated now because of this. I don't want to call you guys after every 4 or 5 hours. Pls chek
104,"@AmazonHelp I've just given my phone No. For you guys to contact me , Anyways I have proceeded my order with Flipkart ...",CUSTOMER_SERVICE,ORDER_CANCELLATION,0.1003,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action."
105,@AmazonHelp It's saying Amazon carrier and it says they tried to deliver the package but they didn't because I have just checked with reception. Said they will try tomorrow but I need it today.,DELIVERY_DELAY,ORDER_CANCELLATION,0.1214,@AmazonHelp I’ll definitely be calling later  👍🏻 this has been happening for months and they said they canceled it
106,"@AmazonHelp As I mentioned, none of my colleagues have record of these purchases so I can't get that information. The credit card is in my name which will be on every order. Do you have any other solutions?",ACCOUNT,DELIVERY_TRACKING,0.1082,@AmazonHelp Still don’t have any clue on the status of my order placed 27 days back. What is stopping you to update atleast a status on when and where ?
107,@AmazonHelp どうにかできました！ありがとうございました(๑･̑◡･̑๑),RESOLUTION_CONFIRMATION,CASUAL_ENGAGEMENT,0.0091,@AmazonHelp thank you!
108,"@AmazonHelp Ur delivery dept has rescheduled the delivery &amp; disgustingly mentioned ""as per customer request""
Its too poor practice Mr @115851",DELIVERY_PROBLEM,DELIVERY_DELAY,0.0748,@AmazonHelp It just says “Delivery date pending. We'll email you as soon as we have a delivery date.” When I ordered it said 4-5 days. It has now been 8
109,@AmazonHelp Essa é a parte difícil: escolher haha,CASUAL_ENGAGEMENT,CASUAL_ENGAGEMENT,0.0058,@AmazonHelp thank you!
110,@AmazonHelp ok..so should i contact customer care on a daily basis or wait till eternity to get this resolved.,CUSTOMER_SERVICE,CASUAL_ENGAGEMENT,0.1016,@AmazonHelp Ok will get back to you in sometime if that's ok with you ??
