example_id,customer_message,intent,decision,reason
18,@AmazonHelp My account is on the NL site.,ACCOUNT,ESCALATE,Intent 'ACCOUNT' may require account access or support action.
19,"@AmazonHelp es vendido por un externo de amazon, pero es enviado por ustedes.
de igual forma el producto decia que estaba en stock, y se supone que ya lo hayan enviado.. Porfavor ayudarme, he tenido el mismo problema con ustedes siempre, nunca envian los productos a la fecha prometida.",ORDER_DISPATCH,ESCALATE,Intent 'ORDER_DISPATCH' may require account access or support action.
20,"@AmazonHelp No, ordered yesterday (10/26), expected shipping date is November 7th, it’s in stock, so that kinda defeats the purpose of prime shipping",DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
21,@AmazonHelp Did that. Got same response and I'm asked to follow the same steps which I have been doing since 21st September. That's ridiculous!,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
22,@AmazonHelp Surely will do. If you just send over a #firestick 😂,DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
23,@AmazonHelp It was from .co.uk thank you,RETURN,AUTO_HANDLE,Intent 'RETURN' appears suitable for a non-account-action response.
24,@AmazonHelp OUI. Via lappli Amazon mobile... Ca va durer longtemps le jeu de se renvoyer la balle la ?,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
25,@AmazonHelp 35 minutes and still waiting. That's not good customer service is it?  Being lied to and then lied to again....,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
26,@AmazonHelp No delays. It just didn't ship until today. I ordered it on 10/4 and it was supposed to be here today.,ORDER_DISPATCH,ESCALATE,Intent 'ORDER_DISPATCH' may require account access or support action.
27,@AmazonHelp iOS. It worked a couple of weeks ago.,DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
28,@AmazonHelp Vizio smart TV - there is an app but quality and crash rate are terrible. Functions also do not work with other remotes as most apps do,DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
29,"@AmazonHelp Sorry, we live 200 miles apart and she is a 74 year old lady who is very upset by this.  Please can I speak to someone on the phone?",CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
30,"@AmazonHelp Si quito mis suscripción ahora, una vez hecho el pedido y a la espera de recibirlo, se aplica algún plus a mi pedido?gracias",OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
31,@AmazonHelp Y can't you access my details while you can access my messages here?,ACCOUNT,ESCALATE,Intent 'ACCOUNT' may require account access or support action.
32,@AmazonHelp Your response only says we will reach out to you.,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
33,"@AmazonHelp O status é em processamento. Eu achei estranho pois não pediu o meu código de verificação do meu cartão de crédito, apenas digitei o número do meu cartão e concluí o pedido. Por isso estou confuso se vai ser ou não debitado.",PAYMENT,ESCALATE,Intent 'PAYMENT' may require account access or support action.
34,@AmazonHelp @115821 @AmazonHelp @115850 customer care executives are behaving like Dons .. insisting me for refund ...pls reply,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
35,@AmazonHelp You guys keep messing up my orders and driving me crazy.,OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
36,@AmazonHelp Yes. Thank you. It will arrive tomorrow. Unfortunately too late for a trip I'm taking. Caught up in the Black Friday madness over the weekend I guess 🤔,DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
37,@AmazonHelp It says the 2nd of December....2 days an still not dispatched yet it's been 5 days it didn't take this long when I ordered it off the American site,ORDER_DISPATCH,ESCALATE,Intent 'ORDER_DISPATCH' may require account access or support action.
38,@AmazonHelp Spoke to yr CS team who helped as much as poss although cld not change my Xbox OneX delivery address!  Still feel angry at being lied to tho,DELIVERY_INSTRUCTIONS,AUTO_HANDLE,Intent 'DELIVERY_INSTRUCTIONS' can usually be handled without private account action.
39,@AmazonHelp After dealing w/this an hour I was hung up on by Mike. He refused to transfer me to someone in the US &amp; told me no one else will talk to me.,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
40,"@AmazonHelp ok, so I purchased a motinor which is defective and you guys considering it to be replaced rather than retrun which in turn I agree to order from amazon again buy not the same brand as box piece is defective, I want different brand option. Can you help me with this issue.",OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
41,@AmazonHelp I had dropped email pl check it,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
42,@AmazonHelp Pues dice vendido por InLife MX,SELLER,ESCALATE,Intent 'SELLER' may require account access or support action.
43,@AmazonHelp No according to my app it's still out for today. No explanation of a delay either. Why is it now 2 days late??,DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
44,"@AmazonHelp Yes they were, I have private messaged you. You did this to a Harry Potter book. Be ashamed.",CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
45,@AmazonHelp Tomorrow. But that isn't the issue. Why would my package even leave IL if it's being shipped to an IL address?,DELIVERY_PROBLEM,ESCALATE,Intent 'DELIVERY_PROBLEM' may require account access or support action.
46,@AmazonHelp I already replied,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
47,@AmazonHelp I sent this in yesterday on your site. Haven't heard anything yet. But I got 8 more emails from sellers this morning.,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
48,@AmazonHelp It's very troubling you need me to go out of my way to write to you and tell you that he packaging can be improved upon. Is there not an evaluation team capable of identifying that?,OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
49,@AmazonHelp Still order not receive. it should deliver on 16 oct today is 18 oct. I call customer care they do not have any reason why it was delay,DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
50,@AmazonHelp And note that's luggage. Luggage that was going to be used on Monday AM.,DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
51,@AmazonHelp Il c’est perdu ou pas ? https://t.co/Z50YYKFA1W,PACKAGE_NOT_RECEIVED,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
52,@AmazonHelp Clicked on link and it says can't find @146898 !!!!!  Hope that's not the case tomorrow,WEBSITE_OR_APP,ESCALATE,Intent 'WEBSITE_OR_APP' may require account access or support action.
53,"@AmazonHelp Sony Bravia 4K, Baujahr ende 2016",DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
54,@AmazonHelp There is no mail which I got from you today,OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
55,"@AmazonHelp jedes mal....
und auch nächstes mal 

Der Bote will einfach nicht 

wohne ja auch oberhalb der 10 Etage 

da hat er bestimmt Höhenangst....",DELIVERY_PROBLEM,ESCALATE,Intent 'DELIVERY_PROBLEM' may require account access or support action.
56,@AmazonHelp Yes it’s enabled,ACCOUNT,ESCALATE,Intent 'ACCOUNT' may require account access or support action.
57,@AmazonHelp Livraison estimé le 16 oct,DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
58,@AmazonHelp Continuosly getting same revert its more than a 1.5 month when i get my money back u told me on 8th of last mnth returning in 2-4 hours https://t.co/fD7GCOLmti,REFUND,ESCALATE,Intent 'REFUND' may require account access or support action.
59,"@AmazonHelp Normalement aujourd'hui, normalement.... mais je prends ce colis en exemple, Colisprive n'est pas un bon livreur, très souvent en retard",DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
60,@AmazonHelp they tried to deliver today but thats the same problem I had for two weeks that they only try to redeliver instead of bringing it to a post office or whatever because I'm not home before 5,DELIVERY_INSTRUCTIONS,AUTO_HANDLE,Intent 'DELIVERY_INSTRUCTIONS' can usually be handled without private account action.
61,@AmazonHelp Thanks. I hv reported and discussed with CC exec. He promised me to resolve issue in next 2 hrs. Let’s see,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
62,"@AmazonHelp Can't u access through order I'd ....??
Just looping around same point .
#lostfaith @115851",ACCOUNT,ESCALATE,Intent 'ACCOUNT' may require account access or support action.
63,@AmazonHelp Courier is going to be contacted and I've been told to allow 24 hours for a response which I will do because this is a christmas gift that cost a lot of money so I just want to know where it is!,PACKAGE_NOT_RECEIVED,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
64,"@AmazonHelp that's just it, I can't get a tracking number from your website.",DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
65,"@AmazonHelp Je l'ai signalé au service client de twitch ici https://t.co/hdO6UWZn1X.
Dois-je le signaler également au votre ?",CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
66,"@AmazonHelp It never was given, not that I remember. I pre-ordered them, so I expected them to arrive closer to the release dates. But now it's been weeks since their release and still no dispatch.",ORDER_DISPATCH,ESCALATE,Intent 'ORDER_DISPATCH' may require account access or support action.
67,@AmazonHelp ah. C’est embarrassant! Et que se passe-t-il si le livreur débarque &amp; qu’il n’y a personne pr réceptionner ? (Je serai au ministère à Bercy),DELIVERY_INSTRUCTIONS,AUTO_HANDLE,Intent 'DELIVERY_INSTRUCTIONS' can usually be handled without private account action.
68,"@AmazonHelp Not sure which carrier it is, but last time I ordered a Christmas present a couple of years ago, (a kindle fire) my account got hacked and my wife was left with a kindle she couldn’t use, after I had to get yet another replacement.",ACCOUNT,ESCALATE,Intent 'ACCOUNT' may require account access or support action.
69,"@AmazonHelp It wasn’t explained to me , 2-3 different reasons are being given to me.",OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
70,@AmazonHelp But why aren't phones working?,DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
71,"@AmazonHelp I've contacted you guys about it multiple times this year. Roughly 10-12 times this year, I've been on the phone with you guys for this, and it keeps happening. Why am I paying $100 for prime 2 day shipping, if it's only actually shipped 2 days occasionally. It's infuriating.",DELIVERY_PROBLEM,ESCALATE,Intent 'DELIVERY_PROBLEM' may require account access or support action.
72,@AmazonHelp NEIN! 👎🏻,INSUFFICIENT_CONTEXT,ESCALATE,Customer message does not contain enough context.
73,@AmazonHelp Yes. Nothing helped. Next plz,PACKAGE_NOT_RECEIVED,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
74,@AmazonHelp Es geht aber um Melia Pro Rewards?,INSUFFICIENT_CONTEXT,ESCALATE,Customer message does not contain enough context.
75,"@AmazonHelp L'écran ne se déverrouille pas lorsque que je le touche, du coup, je ne peux pas accéder à mon colis.",DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
76,@AmazonHelp Kindly share contact no as the website is not helping to relate my issue,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
77,"@AmazonHelp Nenhuma... comprei em pré-venda e no e-mail de confirmação fala que eu receberia uma nova mensagem com a data de esntrega, mas não recebi 😢",DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
78,@AmazonHelp 7 de noviembre,DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
79,@AmazonHelp *n'ai rien dit la a force ..... j'en ai marre de payer pour rien 😔,PAYMENT,ESCALATE,Intent 'PAYMENT' may require account access or support action.
80,@AmazonHelp Hi there! Yes raised it as delivery feedback  with each delivery and not had anything backand yes my safe place is at the back of the house which is accessible. Quite disappointing as if it then goes missing who take responsibility?,DELIVERY_INSTRUCTIONS,AUTO_HANDLE,Intent 'DELIVERY_INSTRUCTIONS' can usually be handled without private account action.
81,@AmazonHelp @115821 Well I left bad feedback and amazon Rep called me 6 times in 4 minutes after 3AM including one call after I said I was sleeping,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
82,@AmazonHelp Already talk to CS GUY he hang up on me,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
83,@AmazonHelp It was marked as delivered at 12.27 yesterday afternoon.I have phoned your customer service twice and I'm always told the same thing.That it's been marked as delivered and they will investigate.But this is happening time and time again.,PACKAGE_NOT_RECEIVED,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
84,"@AmazonHelp No, no other options were offered, both members of staff were very unhelpful",CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
85,@AmazonHelp Carrier as it was dispatched yesterday. https://t.co/B6iSP0gad2,DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
86,@AmazonHelp I can’t see anywhere on the order where it allows me 2 make a claim! There’s nothing in there about claiming at all!,OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
87,"@AmazonHelp By Amazon, says it is in Wigan at a parcel depot and there is a problem but it should have bn here on Oct 3rd",DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
88,"@AmazonHelp Je vais faire ça, merci",RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
89,@AmazonHelp Nothing helpful - this needs escalating to your security team now.,ACCOUNT,ESCALATE,Intent 'ACCOUNT' may require account access or support action.
90,@AmazonHelp @115821 how long do you think it will take?,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
91,@AmazonHelp Is it coming today as per promise? Today is last estimated date.,DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
92,@AmazonHelp No,INSUFFICIENT_CONTEXT,ESCALATE,Customer message does not contain enough context.
93,"@AmazonHelp No no, I mean is there a way I can add stuff to my girlfriend's account without being on her account.",ACCOUNT,ESCALATE,Intent 'ACCOUNT' may require account access or support action.
94,@AmazonHelp Kindly tell me how 2400 pupkart MRP become 4600 rs on your site,OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
95,@AmazonHelp .uk,INSUFFICIENT_CONTEXT,ESCALATE,Customer message does not contain enough context.
96,@AmazonHelp It doesn’t state a courier.. https://t.co/Qq79zAQlqY,DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
97,@AmazonHelp No nothing at all,INSUFFICIENT_CONTEXT,ESCALATE,Customer message does not contain enough context.
98,"@AmazonHelp No, but I will now. Thanks.",RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
99,"@AmazonHelp お忙しいなかご丁寧にありがとうございます。
かしこまりました。
当方は騙される事なく無事でしたが本日の件は家族に話をして、連絡しないように伝えておきます。",RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
100,@AmazonHelp 11 Nov 2017,DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
101,@AmazonHelp Yes - not once but many times. Not worth the $100/yr if you don’t honor! Had to have today. Now scheduled for Monday 5 day after ordering !,DELIVERY_PROBLEM,ESCALATE,Intent 'DELIVERY_PROBLEM' may require account access or support action.
102,@AmazonHelp Order number is 407-0590121-7161968,INSUFFICIENT_CONTEXT,ESCALATE,Customer message does not contain enough context.
103,@AmazonHelp Yesterday. Does that mean I will not be getting my camera because you guys are out of stock now?,ORDER_DISPATCH,ESCALATE,Intent 'ORDER_DISPATCH' may require account access or support action.
104,"@AmazonHelp I've just given my phone No. For you guys to contact me , Anyways I have proceeded my order with Flipkart ...",CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
105,@AmazonHelp It's saying Amazon carrier and it says they tried to deliver the package but they didn't because I have just checked with reception. Said they will try tomorrow but I need it today.,DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
106,"@AmazonHelp As I mentioned, none of my colleagues have record of these purchases so I can't get that information. The credit card is in my name which will be on every order. Do you have any other solutions?",ACCOUNT,ESCALATE,Intent 'ACCOUNT' may require account access or support action.
107,@AmazonHelp どうにかできました！ありがとうございました(๑･̑◡･̑๑),RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
108,"@AmazonHelp Ur delivery dept has rescheduled the delivery &amp; disgustingly mentioned ""as per customer request""
Its too poor practice Mr @115851",DELIVERY_PROBLEM,ESCALATE,Intent 'DELIVERY_PROBLEM' may require account access or support action.
109,@AmazonHelp Essa é a parte difícil: escolher haha,CASUAL_ENGAGEMENT,AUTO_HANDLE,Intent 'CASUAL_ENGAGEMENT' can usually be handled without private account action.
110,@AmazonHelp ok..so should i contact customer care on a daily basis or wait till eternity to get this resolved.,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
111,@AmazonHelp You should definitely make it available people..like really,FEEDBACK,AUTO_HANDLE,Intent 'FEEDBACK' can usually be handled without private account action.
112,"@AmazonHelp So why do you have a twitter if it just asks us to email you? My order is unfulfilled, this is a complaint. Why must i email you?",ORDER_DISPATCH,ESCALATE,Intent 'ORDER_DISPATCH' may require account access or support action.
113,@AmazonHelp I have a complaint against your seller then!,SELLER,ESCALATE,Intent 'SELLER' may require account access or support action.
114,"@AmazonHelp I ordered some stuff,and it offered me prime shipping which I gladly accepted it.I check my bank statement today and they charge me almost $12.so I called and they say because I use the free one months ago,but when I was checking out it never told me I was ineligible for it",PAYMENT,ESCALATE,Intent 'PAYMENT' may require account access or support action.
115,"@AmazonHelp え、、、アマゾンのカスタマーサービスさん⁇😅
ノリがいいなぁ。ひょっとして関西人とか⁉️",CASUAL_ENGAGEMENT,AUTO_HANDLE,Intent 'CASUAL_ENGAGEMENT' can usually be handled without private account action.
116,@AmazonHelp I was promised a replacement before tomorrow early morning.Bt I don't see any updates on that. https://t.co/fBwzdFFCGb,OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
117,@AmazonHelp I have to return only... No other option i have... Now you have to give me the same product in same price...,RETURN,AUTO_HANDLE,Intent 'RETURN' appears suitable for a non-account-action response.
118,"@AmazonHelp form filled no reply yet
such an unstrustworthy service by amazon 3 days delayed from expected delivery date",DELIVERY_DELAY,AUTO_HANDLE,Intent 'DELIVERY_DELAY' appears suitable for a non-account-action response.
119,@AmazonHelp no veo q nada raro.Es 1 envío dentro d la península.Al menos he conseguido guardar la dirección.A ver si la próxima vez lo logro,DELIVERY_INSTRUCTIONS,AUTO_HANDLE,Intent 'DELIVERY_INSTRUCTIONS' can usually be handled without private account action.
120,"@AmazonHelp Correct. I set the Sonos skill up with my speaker and my Spotify account, but it only plays out of the echo.",DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
121,@AmazonHelp When?  In coming new year? Busy looting other innocent customers or what? @115851 @12934 @1840,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
122,@AmazonHelp I have to login to view the page.,WEBSITE_OR_APP,ESCALATE,Intent 'WEBSITE_OR_APP' may require account access or support action.
123,"@AmazonHelp I've already reached out three times, spoke with Amazon logistics, and was told there is nothing they can do other than redeliver tmrw",DELIVERY_PROBLEM,ESCALATE,Intent 'DELIVERY_PROBLEM' may require account access or support action.
124,@AmazonHelp November 7th. It’s said “Out for delivery” and “Arriving today by 8pm” every day since the 7th.,DELIVERY_PROBLEM,ESCALATE,Intent 'DELIVERY_PROBLEM' may require account access or support action.
125,"@AmazonHelp It says expected yesterday, another says already delivered. I have none of these items.",PACKAGE_NOT_RECEIVED,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
126,@AmazonHelp Then surely it should have been updated on my acc and not asked for a review.,FEEDBACK,AUTO_HANDLE,Intent 'FEEDBACK' can usually be handled without private account action.
127,"@AmazonHelp Link provided is for buyers, we are seller on Amazon.in",SELLER,ESCALATE,Intent 'SELLER' may require account access or support action.
128,"@AmazonHelp ""Alexa, What's the weather like"" 
""Currently in Kozhikode, Kansas, it is..."" for fuck's sake, I live in Kozhikode but Kozhikode is NOT in Kansas. Is Alexa actually intelligent? You tell me @115850. She's your kid.",DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
129,@AmazonHelp Is there a way to find out if my package has been lost? There hasn’t been an update on it since early Sunday.,PACKAGE_NOT_RECEIVED,ESCALATE,Intent 'PACKAGE_NOT_RECEIVED' may require account access or support action.
130,"@AmazonHelp Guideline says I should not be directly or indirectly associated with product as in biased comment, which am satisfying. Then why not allow?",FEEDBACK,AUTO_HANDLE,Intent 'FEEDBACK' can usually be handled without private account action.
131,@AmazonHelp D'accord merci,RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
132,"@AmazonHelp It SAID same day, but then it said it would send me confirmation, and when I got the confirmation it said Nov 5th.",DELIVERY_TRACKING,AUTO_HANDLE,Intent 'DELIVERY_TRACKING' can usually be handled without private account action.
133,@AmazonHelp Thanks!,RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
134,@AmazonHelp Why am I not surprised this still is unresolved,CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
135,@AmazonHelp Enough of this nuisance!! Its been 8 months since my money is not refunded and even now i just got an email on 30th oct syaing the matter,REFUND,ESCALATE,Intent 'REFUND' may require account access or support action.
136,@AmazonHelp Expédié par un vendeur tiers je crois,SELLER,ESCALATE,Intent 'SELLER' may require account access or support action.
137,"@AmazonHelp Video stutters, no audio and video freezing. Pause for a couple sec &amp; fine for another 20m. I'm on gig internet hardwired tv.",DEVICE,ESCALATE,Intent 'DEVICE' may require account access or support action.
138,@AmazonHelp Yes.,INSUFFICIENT_CONTEXT,ESCALATE,Customer message does not contain enough context.
139,"@AmazonHelp Yes Sir,I reported,they assured me too 4 d return &amp;said pickup agent vl contact U but nothing done.",RETURN,AUTO_HANDLE,Intent 'RETURN' appears suitable for a non-account-action response.
140,@AmazonHelp Yup 😢 I cancelled the order now,ORDER_CANCELLATION,ESCALATE,Intent 'ORDER_CANCELLATION' may require account access or support action.
141,@AmazonHelp I still have not received my codes. Pre ordered back in April.,OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
142,@AmazonHelp J'ai reçu ce mail ce matin malgré avoir annoncé que j'avais bien reçu la commande. 😬À qui dois-je répondre ? https://t.co/RS1HNVHdDE,OTHER,ESCALATE,Intent 'OTHER' may require account access or support action.
143,@AmazonHelp Werde ich mal machen... Danke,RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
144,@AmazonHelp We still have not heard back yet from you regarding this fraud case. An amazon vendor is using our name and address and we are receiving multiple amazon return items to our home. This needs to stop immediately. @115821 @115851,ACCOUNT,ESCALATE,Intent 'ACCOUNT' may require account access or support action.
145,"@AmazonHelp Sirji , i have already did that , but even tortoise can walk faster than the resolution process of Amzon , check my history via my number @109028, no need to delete this tweet ..",CUSTOMER_SERVICE,ESCALATE,Intent 'CUSTOMER_SERVICE' may require account access or support action.
146,@AmazonHelp Non c'était pas prévu il me semble. Comme elle est USB c je me suis dit qu'ils mettraient directement le câble plutôt qu'un usb normal,PRODUCT_INFORMATION,AUTO_HANDLE,Intent 'PRODUCT_INFORMATION' can usually be handled without private account action.
147,@AmazonHelp Ok thank you,RESOLUTION_CONFIRMATION,AUTO_HANDLE,Intent 'RESOLUTION_CONFIRMATION' appears suitable for a non-account-action response.
148,"@AmazonHelp I just gave you the tracking number. Go to your data base, not Twitter, and hunt the damn thing down. I pay Prime. I expect Prime service",DELIVERY_PROBLEM,ESCALATE,Intent 'DELIVERY_PROBLEM' may require account access or support action.
