conversation_id,customer_tweet_id,support_tweet_id,customer_message,support_response,customer_created_at,support_created_at,customer_length,support_length
1279627,1279630,1279631,"@AmazonHelp un servizio clienti degno di questo nome dovrebbe essere una vostra priorità.FAQ, numero verde inesistente,dialogo impossibile","@419432 Per contattare il Servizio Clienti clicca qui: 
https://t.co/tJmMvL7C3A. Per le pagine d'aiuto: https://t.co/2Aj4OULUJU. ^CS",2017-10-16 09:18:39+00:00,2017-10-16 09:25:00+00:00,138,132
2965236,2965235,2965237,"@AmazonHelp Dort wurde der 1. Dez genannt, allerdings ist das recht untypisch für Amazon. Seit ein paar Monaten dauert es um einiges länger als früher..",@226939 Ich geb dein Feedback zur Lieferzeit gerne weiter. ^BL,2017-11-29 22:41:23+00:00,2017-11-29 22:44:00+00:00,152,62
2475940,2475942,2475943,@AmazonHelp Vendido y enviado por Amazon,"@707775 En ese caso, de no recibirlo para mañana te recomiendo contactar con Servicio al Cliente para reportarlo: https://t.co/KyKcfqiS0j. ^KS",2017-11-15 14:25:20+00:00,2017-11-15 14:29:33+00:00,40,142
1786054,1786056,1786057,@AmazonHelp Yes. Pumps. 3”-4” heels. Black. Stilettos. Leather. Highly rated. Rounded toes.,@536618 Would you be able to give us a link with what you are searching and what filters are you using so we can check the results?^MA,2017-11-26 06:52:42+00:00,2017-11-26 07:09:31+00:00,91,134
330923,330922,330924,"@AmazonHelp I tried many pincodes of Lucknow but still no result found about delivery. 226016 is the pincode of ""Indra nagar"" which is famous place.","@194788 Further, I'll be sure to share your comments with our internal teams for review and to improve our services. (2/2) ^SV",2017-10-09 20:19:06+00:00,2017-10-09 20:34:00+00:00,148,126
304431,304416,304417,@AmazonHelp Did that but there's no way to attach screenshot in the form so same thing going to repeat. Same message still being displayed - https://t.co/311kKb4YW1,@188700 Please attach this link as URL to the message in the link provided and I'll reach out to you. Appreciate your understanding.,2017-10-07 21:36:45+00:00,2017-10-07 21:58:00+00:00,164,132
1313889,1313892,1313893,"@AmazonHelp I have already requested several times to the seller, no proper information is provided till date. I can't even track my order.",@426971 I’m sorry about the hassle. Please drop in your details here: https://t.co/GIJyeYqKE0 We’ll look into it. ^SB,2017-10-27 07:16:04+00:00,2017-10-27 07:25:00+00:00,139,117
115903,115898,115897,@AmazonHelp In the latest incident I've been advised that the parcel had been 'accidentally' scanned as delivered and that it has been escalated with the delivery company. Previous time I was told it was being escaped as they had marked it as 'attempted delivery' when no one had been.,"@141801 Hi Sandeep, we would be getting those issues raised with Amazon Logistics if we have escalated it internally. Have you received your package since then? ^PJ",2017-11-22 08:12:50+00:00,2017-11-22 08:20:27+00:00,285,164
2562084,2562081,2562079,"@AmazonHelp They said, because I could only be accepted for one job at a time they canceled the second offer. It doesn't make sense to me, because I got a phone call telling me about the second after I had the first scheduled and when I got accepted for the second I canceled the first",@727113 I understand your frustration. Please keep an eye on the app for additional openings. ^KP,2017-11-16 17:53:54+00:00,2017-11-16 18:02:26+00:00,285,97
80588,80582,80584,"@AmazonHelp I contacted you guys via the link above and the rep told me they contacted the carrier (UPS) and my packages would be delivered today. Unfortunately, here we are, 12 hours later.... still no packages.",@133885 I'm sorry your order has yet to arrive! What does the most recent tracking update from the carrier show here: https://t.co/Y5jpI9gRhE? ^BN,2017-12-01 00:55:55+00:00,2017-12-01 01:10:00+00:00,212,146
206074,206078,206079,"@AmazonHelp I just received them with no issues, so the driver just decided he had enough yesterday!","@164801 My apologies for the troubles. I'm glad to hear it's arrived! If we can further assist, please let us know! ^AB",2017-11-06 13:51:16+00:00,2017-11-06 13:54:33+00:00,100,119
1125158,2944339,2944341,@AmazonHelp Par DM !! Explications envoyées,"@385301 Très bien, je viens de vous envoyer un message. ^SB",2017-11-29 15:18:44+00:00,2017-11-29 15:24:27+00:00,43,59
2526240,2526242,2526243,@AmazonHelp Nope. Just wasnt delivered. Then the date changed from tuesday to wednesday when not delivered. Then when not delivered last night it was moved to friday at 8pm. Thats not 2 day shipping. It was ordered last friday.,@265157 I'm very sorry for the delay! Please reach out to us here: https://t.co/hApLpMlfHN so we can look into this with you and find a resolution. We want to help! ^ZW,2017-11-16 13:22:31+00:00,2017-11-16 13:28:32+00:00,227,168
276151,276145,276148,@AmazonHelp Hey i had updated details in link.do call me 8884362420,@181972 Thank you for sharing your details we shall get back to you soon. 1/2 ^SH,2017-10-06 07:24:12+00:00,2017-10-06 08:46:30+00:00,67,81
561642,561639,561640,@AmazonHelp This has been done!,@251430 I've checked and see we've received your details. We'll work on it and get back to you with an update soon. ^NR,2017-12-02 23:20:05+00:00,2017-12-02 23:22:52+00:00,31,119
18691,18689,18688,@AmazonHelp What do you mean prices are ever changing? Is @115850 a stock exchange? And how can you charge more than MRP? Should I sue you?,@120171 We'd like to have a look into this. Kindly report it here: https://t.co/2t6DQoUmNZ and our team will assist further. ^AB,2017-11-01 05:46:30+00:00,2017-11-01 05:53:25+00:00,139,128
1662637,1662636,1662638,@AmazonHelp Thank you. Saw this on the website. Was looking forward to hearing from users themselves.,"@506980 You're welcome, Anand. Do reach out to us if you need any assistance. ^MP",2017-11-06 09:43:30+00:00,2017-11-06 10:40:00+00:00,101,81
25962,25959,25958,"@AmazonHelp How many times we have to fill the forms. 23rd we raised the case 4063530272.
Today it's 1st Nov.
Still in waiting.
And we loose 4 orders","@120612 your order details, we consider it to be personal info. Our page is visible to the public. (3/3)^SF",2017-11-01 09:11:44+00:00,2017-11-01 09:47:00+00:00,149,107
65714,65708,65707,@AmazonHelp @131037 Second time waiting to hear back while investigating the courier. Please do call us back this time. Had to phone up loads to get the first non delivery sorted.,@131036 Please let us know if you don't hear back regarding the investigation! ^RO,2017-11-29 12:19:37+00:00,2017-11-29 12:23:29+00:00,179,82
1706228,1706227,1706229,@AmazonHelp Not dispatched and delivery date pending. Yesterday it looked like it was gonna come today. Maybe not enough stock for pre-order amount?,"@517118 I understand the disappointment. As soon as we have more information, we'll update the order with a new delivery date. ^BH",2017-11-06 23:04:19+00:00,2017-11-06 23:12:00+00:00,148,130
2617278,2617276,2617275,@AmazonHelp I ordered through Amazon.,@449795 We'd like to look into this for you. Please reach out to us via phone or chat here: https://t.co/HxxpcIJj6A ^BE,2017-11-26 21:37:26+00:00,2017-11-26 21:40:37+00:00,37,119
481567,481561,481564,"@AmazonHelp Ja das stimmt, leider! ☹️ Da ich aber ein geduldiger Mensch bin, verkrafte ich das bis morgen. 🤓 Danke für die Rückmeldung",@229465 Einfach positiv sehen: Du kannst morgen zwei Türchen öffnen. ;) Liebe Grüße ^TA,2017-12-01 14:40:32+00:00,2017-12-01 14:58:31+00:00,134,87
1572179,1572178,1572180,@AmazonHelp The only email I ever got was my order confirmation with no delivery estimate.,"@484667 We don't have access to your account, Michael. Please contact us here: https://t.co/hApLpMlfHN and we'll be glad to help! ^FR",2017-11-04 14:02:26+00:00,2017-11-04 14:16:38+00:00,90,133
1211710,1226571,1226572,@AmazonHelp I already did that. Got a revert on mail but not on call.,"@404398 Please write back to the email you've received from our team, requesting for a call back and we'll get back to you. ^SQ",2017-10-26 00:12:21+00:00,2017-10-26 00:26:00+00:00,69,127
735264,735276,735277,@AmazonHelp You're missing the point I paid for next day delivery and here we are 2 days later and I still haven't got it,@150360 We can't see accounts w/ Twitter so please reach out to us so we can look into options for the order: https://t.co/JzP7hlA23B ^DD,2017-10-11 15:34:06+00:00,2017-10-11 15:41:27+00:00,121,137
2610676,2610678,2610679,"@AmazonHelp Papelaria, jardinagem, roupas, produtos de beleza... 😃",@738295 Boa sugestão Caroline ❤️.Sempre estamos planejando novidades para te surpreender😉. ^AZ,2017-11-17 12:14:18+00:00,2017-11-17 12:30:01+00:00,66,94
1313356,1313350,1313352,@AmazonHelp we have not received any reply from your team.,"@416677 In case, you haven't received an email. Kindly drop in your details here: https://t.co/beaaDm0muc and we'll get in touch.^SY",2017-10-27 07:29:00+00:00,2017-10-27 07:39:35+00:00,58,132
145839,145836,145835,@AmazonHelp merci de votre réponse. Amazon Logistics. N° de suivi : C10052375683.,"@149074 Bonjour, je suis sincèrement navrée d'apprendre cela. 
Afin que l’on puisse vérifier votre dossier et alerter le département en charge, merci de remplir ce formulaire via un PC s'il vous plaît : https://t.co/HtUowg2UGX 
^SA",2017-11-24 13:48:47+00:00,2017-11-24 13:58:00+00:00,81,231
1385709,1385708,1385710,"@AmazonHelp Hello. It was expected by Oct. 12.
Can I send you a screenshot to your DM?","@442458 Hey, did you purchase from a seller or Amazon directly? Which website did you purchase from .com / .co.uk etc ?^TP",2017-10-29 06:28:12+00:00,2017-10-29 06:34:33+00:00,86,122
572839,572841,572842,"@AmazonHelp Have shared the details, waiting for some miraculous update now!","@254616 Thank you for sharing the details, we will get back with an update soon. ^BS",2017-12-03 07:45:53+00:00,2017-12-03 07:55:00+00:00,76,84
1541867,1541870,1541871,@AmazonHelp That’s made the matter worse!!! It’s now totally logged me out and still doesn’t recognise me. https://t.co/AKEDxVbfU6,@477745 Sorry to see this. Please reach out to us here: https://t.co/JzP7hlA23B and we can look into this. ^PK,2017-11-04 07:01:58+00:00,2017-11-04 07:12:27+00:00,130,110
1370792,1370791,1370793,@AmazonHelp You are hurting businesses through your faulty #amazonfulfillment practices and damaging the shopping experience for the seller.  #SNAFU,"@439081 I'm so sorry, that wasn't the right link. Please reach out to our Seller Support team here: https://t.co/NlAA68U4Da ^MB",2017-10-28 01:22:14+00:00,2017-10-28 01:44:03+00:00,148,127
180607,180594,180596,@AmazonHelp I have not received any update.. Please update on the email which is already provided to yoy,@158460 Kindly check for the correspondence here: https://t.co/8DAc10S7ww ^AK,2017-10-04 12:33:42+00:00,2017-10-04 12:39:01+00:00,104,77
2528811,2528807,2528808,@AmazonHelp Thanks for eating up my money,@672173 Apologies for the experience. Please reply to the email received from us and we will help you further. ^BS,2017-11-16 11:22:25+00:00,2017-11-16 11:44:00+00:00,41,114
1276284,1276286,1276287,@AmazonHelp Posso te considerar meu amigo?,@418741 Claro! Meriadoc você é nosso amigão! ^JJ,2017-10-26 20:09:19+00:00,2017-10-26 20:19:37+00:00,42,48
2943198,2943189,2943192,"@AmazonHelp Comme a chaque fois, comme toutes les semaines. ( … Soupir …) 

Cela dis j’aimerai bien une réponse. 

Personne ne semble pouvoir m’expliquer comment vous pouvez garantir une livraison 24h (via l’option PRIME payante) en envoyant des colissimo 48h  … merci de votre réponse","@813112 1/2  N'ayant pas accès à votre compte client depuis Twitter, vous pouvez demander a être rappelé par notre service client  s'il vous plaît. 
Pour ce faire, vous pouvez utiliser le lien suivant:  https://t.co/hgIrz98cdI",2017-11-29 14:37:02+00:00,2017-11-29 14:56:24+00:00,285,226
910293,910291,910290,"@AmazonHelp たぶん無料体験登録しちゃってたんだと思います。
せっかくなので利用します。
ご丁寧にありがとうございます。",@336221 リプライいただきありがとうございます m(_ _)m　プライムについてわかりづらい点があり申し訳ございませんでした。意図せぬ登録となったところ恐縮ですが、特典をぜひご活用いただければ幸いです https://t.co/JVlaJGORZx  HM,2017-10-21 06:21:27+00:00,2017-10-21 06:26:29+00:00,65,131
2483976,2483978,2483979,@AmazonHelp Je reviens vers vous après ma conversation avec un agent BPOST. Ils ont des problèmes d'effectifs depuis 2 semaines et des soucis techniques apparemment. Serait-il possible d'envisager une livraison via un autre transporteur ?,"@709640 Le choix du transporteur est soumis à plusieurs critères logistiques tels que votre code postal, le volume / poids des articles, …Ceci dit, si vous avez un souci récurrent avec un transporteur précis, il suffit de le signaler à notre service client. ^ASZ",2017-11-15 16:09:36+00:00,2017-11-15 16:25:32+00:00,238,262
934366,934358,934356,"@AmazonHelp Oui, on verra ce qu'il y a dans ma boîte aux lettres lundi ^^","@341643 J'espère que vous recevrez votre colis rapidement, tenez-nous au courant lundi je vous prie ! 
^KE",2017-10-21 17:27:14+00:00,2017-10-21 17:38:43+00:00,73,106
425192,425188,425190,"@AmazonHelp Filled the form, now how much time i have to wait for my refund or you guys will do the same thing.","@216161 Thank you for sharing the details, Kamalesh. We're working on it and we'll get back to you soon with an appropriate resolution. ^SY",2017-11-21 05:09:47+00:00,2017-11-21 05:20:30+00:00,111,139
1122715,1122714,1122717,@AmazonHelp You call me my no 8765861689 your customer care no koi bhe ni lagta hai 18003000__credit_card__ 180030009009 sare no bekar mail id bekar,@384790 Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 3/3 ^SH,2017-10-16 03:38:55+00:00,2017-10-16 04:07:31+00:00,148,125
1893377,1893376,1893379,@AmazonHelp My newest text from them. https://t.co/nA8LZPtoII still hasn’t given me an update saying out for delivery yet. https://t.co/5Mg8fH9rwR,@186698 USPS may have more info regarding the delivery. Please let us know if it doesn't arrive by the updated delivery date. ^WJ,2017-10-18 12:40:11+00:00,2017-10-18 12:55:33+00:00,146,129
2353793,2353791,2353790,"@AmazonHelp Non, pas encore ! Je dois appeler quelqu'un ?","@680128 Vous pouvez joindre notre service client par téléphone (appel gratuit depuis un poste fixe), chat ou par mail depuis le lien suivant : https://t.co/qzuu0dgDXz. ^ASZ",2017-11-13 18:31:19+00:00,2017-11-13 18:49:00+00:00,57,172
69933,69892,69893,@AmazonHelp It’s been 5 days &amp; there in no revert :(,"@131820 I understand that waiting can be tiresome. As informed earlier, kindly revert to an email sent to you by the Social Media team and we'll get back to you with an update at the earliest. Appreciate your patience and understanding.^EM",2017-12-01 08:19:34+00:00,2017-12-01 08:46:00+00:00,56,239
490405,490402,490400,"@AmazonHelp That's incredibly helpful, thanks!!",@231825 We're here if you need anything! Just keep us updated! ^FR,2017-12-01 16:54:43+00:00,2017-12-01 16:57:31+00:00,47,66
1648168,1648171,1648173,@AmazonHelp No consigo hablar con ellos. He llamado tres veces al móvil desde el que me han “llamado” y me cuelgan.,@503522 Por favor reporta lo sucedido con nuestro Soporte al Cliente accesando este enlace: https://t.co/OjvUxwnzPe ^AZ,2017-10-17 14:36:51+00:00,2017-10-17 14:44:00+00:00,115,119
2319428,2319424,2319429,@AmazonHelp Please process the refund immediately,@672286 Apologies for the trouble. Please share your details here: https://t.co/GIJyeYqKE0 &amp; we'll get in touch with you. ^BS,2017-11-13 12:39:13+00:00,2017-11-13 13:12:00+00:00,49,129
1328756,1328750,1328749,"@AmazonHelp Muchas gracias, no tenéis que sentirlo. ^^","@217270 De nada, siempre que ocupes aquí estamos. 😊 ^DA",2017-10-16 12:38:33+00:00,2017-10-16 12:42:00+00:00,54,55
676863,676862,676864,@AmazonHelp 🤐🤐😠😠 https://t.co/grhL7knV8p,@281466 That's an unpleasant experience you've had with the refund. Kindly drop us an email and our team will get back to you shortly on this. ^VM,2017-11-23 06:26:08+00:00,2017-11-23 06:47:00+00:00,40,146
1342427,1342486,1342487,@AmazonHelp Confirm before posting. ppl blve in Amazon.,@433099 Feedback taken. Will definitely be forwarded to the concerned team internally. ^SK,2017-10-16 14:51:07+00:00,2017-10-16 15:04:00+00:00,55,90
817574,817563,817564,@AmazonHelp Le transporteur est Amazon Logistics,@314733 puis-je avoir le n° de suivi pour remonter le cas au service d'Amazon Logistics et demander une livraison pour demain. ^RA,2017-10-12 21:22:21+00:00,2017-10-12 21:27:34+00:00,48,130
2025252,2025256,2025257,@AmazonHelp Perfect thank you so much for your help!,@598924 Let us know if you need anything else!  ^ST,2017-10-29 04:42:03+00:00,2017-10-29 04:54:00+00:00,52,51
2918777,2918771,2918773,"@AmazonHelp Ever since you switched from using mostly UPS to USPS in my area. Maybe my local USPS is overwhelmed, though their Sunday delivery is nice.",@807861 Thank you so much for the information you provided. Do you have a recent or current order that's been affected by these delays? ^CC,2017-11-29 00:27:59+00:00,2017-11-29 00:46:24+00:00,151,139
2678065,2678064,2678066,"@AmazonHelp Hi, I only started the trial yesterday and I have already cancelled, but my bank shows Amazon Prime as a pending authorization transaction for £79.99. Will this be held until my trial is over or can I get that money back?","@753643 Hey, Scott! We'd like to look into this for you to see if a refund is being processed. Do you mind using the following link to get in touch with us?  https://t.co/JzP7hlA23B. ^DY",2017-11-19 13:21:26+00:00,2017-11-19 14:20:29+00:00,233,186
1630264,1630262,2417846,@AmazonHelp Seller contacted personally told to take the claim back n send the television back but I will have to bear the delivery cost which is a lot.,@498981 Our  specialist team will contact you with an update soon. Request you to wait. Appreciate your understanding. ^ZH,2017-10-29 11:14:15+00:00,2017-10-29 11:20:29+00:00,152,122
1490299,1490301,1490304,@AmazonHelp I have not received an email. Order status in all changed from “arriving by 8pm” to “your package is late and delivery date is unknown”,"@466110 We'd like to look into this further for you, Caleb! Please contact us here so that we can explore options together:  https://t.co/hApLpMlfHN ^SA",2017-11-26 02:37:01+00:00,2017-11-26 02:50:27+00:00,147,152
1632192,1632186,1632187,@AmazonHelp Mas agora temos um problema... vcs cancelaram a cobrança!,"@499460 Leandro, chama a gente pelo fale conosco para verificar seu caso. ^VL",2017-11-20 13:11:38+00:00,2017-11-20 13:30:00+00:00,69,77
1278979,1280577,1280574,@AmazonHelp Haha i want to ask u one thing?,"@190898 Yes, please go ahead. ^NR",2017-10-26 17:01:00+00:00,2017-10-26 17:12:17+00:00,43,33
2534503,2534505,2534506,@AmazonHelp I have not shared details as I have been busy. But it is advisable from my side to not create an issue of the same and resolve it without a problem.,"@715026 We don't have access to your Amazon account over Twitter, please drop in your details in the link on a feasible time and we'll review it. ^SU",2017-11-16 12:35:16+00:00,2017-11-16 12:52:17+00:00,160,149
756329,756327,756326,@AmazonHelp Just looking into this. So I have to go out of my way and return these items all because they were not delivered correctly,@158344 You can also contact us via Phone or Chat here: https://t.co/JzP7hlA23B so we can look at options with you! ^TR,2017-10-11 18:37:45+00:00,2017-10-11 18:42:28+00:00,134,119
2061594,2061588,2061586,@AmazonHelp Either/Or.  I can't get the verification code since it is being sent to the old number but i can't change the number because I need the code.  I will take whatever I can get in order to access my account.,"@609705 When setting up Two-Step Verification, we ask if you'd like to use a back-up phone number or the authenticator app if you lose access to your primary number.  Have you tried generating a code using your back-up method? More here: https://t.co/eDodDFMwId ^LB",2017-11-26 11:51:46+00:00,2017-11-26 12:04:24+00:00,216,265
1488354,1496644,1496645,@AmazonHelp haha its a joke for you and now I m undrstanding thank u 4 this kind of great service.Only amazn cn do it .NVR EXCPTD B4 BT NW I M RDY FR MR,@465721 I get your disappointment. Please reply to the latest correspondence sent by our team to resolve the issue at the earliest. ^MN,2017-11-03 12:22:52+00:00,2017-11-03 12:36:00+00:00,152,135
1100412,1100400,1100401,"@AmazonHelp Many names Vishal Neha. Etc I don't remember
Everyone has same answer",@118703 I'm sorry to know that. We'd like to take a closer look into this. Please drop in your details here: https://t.co/GIJyeYqKE0. ^MP,2017-11-15 10:52:00+00:00,2017-11-15 11:19:23+00:00,81,137
2061577,2061576,2061578,@AmazonHelp Just recieved.. Thank you for your ummediate response!,@569580 You're most welcome! We're glad you received the product. :-),2017-11-26 12:34:28+00:00,2017-11-26 12:38:00+00:00,66,69
881055,881052,881050,@AmazonHelp It has not even picked up.. Dey promised pick up several times n cancelled by their own convenience,@329203 Please share your details in the link and we'll have this escalated at the earliest. ^NR,2017-10-20 19:42:18+00:00,2017-10-20 19:44:34+00:00,111,96
2804268,2804267,2804269,"@AmazonHelp よい物が出来そうです。
色々Amazonさんではおせわになっています*.ﾟ+ヽ(○･▽･○)ﾉﾞ +.ﾟ*","@782185 こちらこそ、いつもご利用いただきありがとうございます😊✨
またお待ちしております！( *• ̀ω•́ )b YM",2017-11-22 04:32:55+00:00,2017-11-22 04:37:00+00:00,65,64
2630119,2630118,2630120,"@AmazonHelp Sí. Con otras tarjetas sí aplica, pero deseo elegir la Citibanamex Oro por cuestiones de fecha de corte. Dice ""El código de promoción no se puede aplicar a esta compra. Si tu  promoción está ligada a la forma de pago, confirma tu pago antes de  introducirlo"".","@742740 Entiendo Carlos. ¿Antes de hacer la compra has verificado que el pedido cumpla con todos los términos y condiciones para que la promoción sea aplicable al pedido?
https://t.co/BEXSzkTfMg
^DB",2017-11-17 17:56:04+00:00,2017-11-17 18:24:31+00:00,271,198
2394512,2394514,2394515,@AmazonHelp Any TAT that you can give me this time? I already waited for almost 6 months with same replies to my tweets and emails to customer support. @119625 @128308,@687044 We wouldn't be able to speculate on a timeline. We would request your patience here. ^CB,2017-11-14 14:17:43+00:00,2017-11-14 14:42:00+00:00,167,96
314984,314992,315012,"@AmazonHelp 1.SIR WHAT HAPPENED TO MY COMPLAINT,ITS 15 DAYS NOW I HAVE BEEN COMPLAINING TO YOU DIRECTLY,BIT NOTHING HAS https://t.co/6uZkAcm0jE PEOPLE",@159170 We've sent a correspondence to your registered email ID here: https://t.co/NTkrxpsbHJ. Kindly check. ^PS,2017-10-30 02:55:56+00:00,2017-10-30 03:17:33+00:00,150,112
73423,73422,73424,@AmazonHelp Directly from yourselves!!,@132420 Thanks for that information. You can certainly view your return/replacement options here:http:https://t.co/5RcjVPJgUP ^CR,2017-11-30 10:58:37+00:00,2017-11-30 11:19:29+00:00,38,129
272453,272455,272456,@AmazonHelp i have sent an email to ur support team as well. kindly check,@181033 If you've emailed our support team. I'm sure they would reach out to you with an update on the order. ^VM,2017-10-06 04:31:32+00:00,2017-10-06 05:19:55+00:00,73,113
1070090,1070089,1070091,"@AmazonHelp Shared all the details but not revert from you again , just like what happened before.","@372499 If you had provided your details, you should have received a correspondence from us here: https://t.co/8DAc10S7ww.^SF",2017-10-24 09:24:45+00:00,2017-10-24 09:36:00+00:00,98,125
1137324,1137346,1137347,@AmazonHelp Again same thing :( can someone call me from your end,"@387909 Sorry about the hassle, Tejas. Please revert to the email requesting a callback and our team will assist accordingly. ^MS",2017-10-26 12:39:26+00:00,2017-10-26 12:42:01+00:00,65,129
1135112,1135114,1135115,@AmazonHelp Yeah done that one as well,"@387420 Hi, are you watching streamed or downloaded content? ^TS",2017-10-24 09:35:13+00:00,2017-10-24 09:44:00+00:00,38,64
229087,229081,229080,@AmazonHelp I'm talking about the cashback discount and the Exchage amount deduction on my purchase why I be at a loss because of Amazon's misconception,@170632 Please reach us here: https://t.co/vlvfJr4nN9 and we'll check this for you. ^YP,2017-09-26 13:33:17+00:00,2017-09-26 16:04:07+00:00,152,87
197649,197621,197622,@AmazonHelp Provide an email please,@162488 Please share your details here: https://t.co/GIJyeYqKE0. ^PS,2017-10-05 07:41:59+00:00,2017-10-05 08:02:00+00:00,35,68
1111339,1111342,1111343,@AmazonHelp Really not expecting this sort of service from amazon... Hope you  listen to customers needs for their satisfaction,@206627 I'm sorry for the trouble. We've received your details and we'll reach out to you soon. ^GK,2017-10-24 02:59:18+00:00,2017-10-24 03:16:00+00:00,127,99
236169,236180,236182,"@AmazonHelp Reply to your email has been sent.
Please check",@172248 Thank you for your revert. We'll reach out to you with an update at the earliest. ^SA,2017-10-11 05:19:57+00:00,2017-10-11 05:29:52+00:00,59,93
198689,198687,198686,"@AmazonHelp It's okay lovely, he delivered it at 9. Thank you very much anyway 😀","@162745 Thanks for the update, Amelia! We're always happy to help! ^ML",2017-10-04 20:16:50+00:00,2017-10-04 20:27:36+00:00,80,70
1860195,1860205,1860207,@AmazonHelp You go and check with order number ending with 0304. #MentalAgony #WorstService #AmazonSucks #AmazonFreeIndia,@340473 This being a social platform we can not access your account details. Please drop in(1/2)^SF,2017-10-18 12:10:32+00:00,2017-10-18 12:31:00+00:00,121,99
