conversation_id,customer_tweet_id,customer_message,support_response,intent,notes
1200016,1200015,@AmazonHelp Es geht aber um Melia Pro Rewards?,"@401961 Oh, da wollte die Kollegin den ganz frühen Wurm fangen. :-) Da wäre es wohl besser auf Antwort von Melia Pro zu warten. ^AK",,
1603713,1603711,"@AmazonHelp L'écran ne se déverrouille pas lorsque que je le touche, du coup, je ne peux pas accéder à mon colis.","@492146 Vous pouvez contacter notre service client via le lien : https://t.co/qzuu0dgDXz
afin de vous proposer une solution ^ME",,
1013066,1013065,@AmazonHelp Kindly share contact no as the website is not helping to relate my issue,@359716 Have you tried selecting 'Other order issue' for the drop down list? ^SY,,
714711,714710,"@AmazonHelp Nenhuma... comprei em pré-venda e no e-mail de confirmação fala que eu receberia uma nova mensagem com a data de esntrega, mas não recebi 😢","@290972 Por gentileza, acesse o seguinte link Sabrina: https://t.co/dyFfK6l3zu  ^JJ",,
1727929,1727928,@AmazonHelp 7 de noviembre,"@522521 Entiendo, ¿has entrado en contacto con el transportista para verificar si todo está correcto con tu pedido? ^AZ",,
182821,182818,@AmazonHelp *n'ai rien dit la a force ..... j'en ai marre de payer pour rien 😔,"@159015 1/2 J'ai bien pris note de votre réclamation, cependant, afin que l'on puisse prendre toutes les mesures nécessaires",,
527702,527701,@AmazonHelp Hi there! Yes raised it as delivery feedback  with each delivery and not had anything backand yes my safe place is at the back of the house which is accessible. Quite disappointing as if it then goes missing who take responsibility?,"@242155 Hi, we would certainly do our best to correct the situation if the item were to go missing. Your safe place option should be followed through with the carrier. Are you aware of who the carrier ignoring the request is? ^CR",,
446820,446819,@AmazonHelp @115821 Well I left bad feedback and amazon Rep called me 6 times in 4 minutes after 3AM including one call after I said I was sleeping,@220848 I'm so sorry to hear this! We'd like to review this phone call. Please provide detailed information to us here: https://t.co/vwawEBlP64 ^KP,,
1197140,1197138,@AmazonHelp Already talk to CS GUY he hang up on me,@401284 Please give us another chance to make this right. Contact us by phone or chat here: https://t.co/hApLpM3Ejd ^BA,,
2390491,2390498,@AmazonHelp It was marked as delivered at 12.27 yesterday afternoon.I have phoned your customer service twice and I'm always told the same thing.That it's been marked as delivered and they will investigate.But this is happening time and time again.,@688607 Were you advised that somebody will update you within 24 hours? ^CN,,
2176531,2176527,"@AmazonHelp No, no other options were offered, both members of staff were very unhelpful","@638006 Did you receive an e-mail regarding the e-mail address change? Please be sure to check your junk and spam folders! You can contact us here with as much information as possible, https://t.co/zYVX1Qi29G, and an account specialist should be able to help. ^TG",,
1494686,1494680,@AmazonHelp Carrier as it was dispatched yesterday. https://t.co/B6iSP0gad2,@467050 Sometimes an unforeseen circumstance will cause a short delay in delivery. Most orders are delivered the next day. ^EM,,
1953417,1953415,@AmazonHelp I can’t see anywhere on the order where it allows me 2 make a claim! There’s nothing in there about claiming at all!,@262728 How long has it been since you placed the order and received the item? ^JJ,,
1744141,1744139,"@AmazonHelp By Amazon, says it is in Wigan at a parcel depot and there is a problem but it should have bn here on Oct 3rd",@526006 Oh no! We may need to contact the courier on your behalf! Please phone/chat with us here and we'll look into available options with you: https://t.co/JzP7hlA23B ^BN,,
2154042,2154038,"@AmazonHelp Je vais faire ça, merci",@632900 Merci à vous ! ^AR,,
1583690,1583688,@AmazonHelp Nothing helpful - this needs escalating to your security team now.,"@487372 I understand how that feels, Andrew. Have you received any e-mails regarding your account? Remember to check spam/junk. ^BL",,
277241,277216,@AmazonHelp @115821 how long do you think it will take?,@182227 I'm sorry for the wait. I confirmed we received your message. The longest it will take our team to respond is 12 hours. ^BH,,
973621,985154,@AmazonHelp Is it coming today as per promise? Today is last estimated date.,@339899 Please get in touch with our support team here: https://t.co/vlvfJr4nN9 We will assist you further with your query. ^GU,,
1860976,1860965,@AmazonHelp No,"@556249 Oh no! We'd like to check available options for you. If you have a moment, please reach us by phone or chat here: https://t.co/hApLpMlfHN. ^LH",,
1973430,1973428,"@AmazonHelp No no, I mean is there a way I can add stuff to my girlfriend's account without being on her account.","@584441 We take account security very seriously, so in order to add to/edit a wish list you need to be logged into that account ^AD",,
2852083,2852082,@AmazonHelp Kindly tell me how 2400 pupkart MRP become 4600 rs on your site,@792975 I understand your concern. Please refer to the above link for more information on pricing difference. ^GD,,
2838472,2838471,@AmazonHelp .uk,@789961 Could you please confirm who the carrier was? ^BD,,
2219975,2219966,@AmazonHelp It doesn’t state a courier.. https://t.co/Qq79zAQlqY,"@648445 When you spoke with us via chat, were you advised to wait until a certain date before we could take further action? ^BG",,
593424,593422,@AmazonHelp No nothing at all,@260505 That's odd! Please give us a ring here: https://t.co/JzP7hlA23B so we can look into this with you. ^TR,,
780795,780802,"@AmazonHelp No, but I will now. Thanks.",@306416 Ok. ^KM,,
970183,970181,"@AmazonHelp お忙しいなかご丁寧にありがとうございます。
かしこまりました。
当方は騙される事なく無事でしたが本日の件は家族に話をして、連絡しないように伝えておきます。",@350231 恐れ入ります、どうぞよろしくお願いいたします。リプライありがとうございました。　SM,,
1464170,1464169,@AmazonHelp 11 Nov 2017,"@459850 Thank you for the information. Also, could you please confirm if you've registered the device with your Amazon account? ^AP",,
851595,851593,@AmazonHelp Yes - not once but many times. Not worth the $100/yr if you don’t honor! Had to have today. Now scheduled for Monday 5 day after ordering !,"@322296 When you spoke to us, did we mention what caused the delay? Have you noticed a pattern with a specific carrier? ^DG",,
47938,2674984,@AmazonHelp Order number is 407-0590121-7161968,"@126720 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^VH",,
483054,483050,@AmazonHelp Yesterday. Does that mean I will not be getting my camera because you guys are out of stock now?,"@229893 I am unable to access the specific status of your order via Twitter but in my experience, when an order is placed on hold the item is not reserved and will generally have to be reordered. Forthcoming emails will provide a more concrete answer. ^CH",,
292295,292301,"@AmazonHelp I've just given my phone No. For you guys to contact me , Anyways I have proceeded my order with Flipkart ...",@185616 I'm sorry for the inconvenience with this order. Being a social platform we'll not be able to arrange a call from 1/2 ^MJ,,
2545420,2545418,@AmazonHelp It's saying Amazon carrier and it says they tried to deliver the package but they didn't because I have just checked with reception. Said they will try tomorrow but I need it today.,@723495 Thanks for letting us know! Please get in touch with us by phone or chat here: https://t.co/JzP7hlA23B. We'd like to look into this for you! ^KJ,,
930161,930147,"@AmazonHelp As I mentioned, none of my colleagues have record of these purchases so I can't get that information. The credit card is in my name which will be on every order. Do you have any other solutions?","@340681 (1/2) If they purchased on https://t.co/nUUp5MLhYl, there will be an invoice under the orders in their order history. The best option here would be to have them contact us directly so we can look into their account with them and guide them to their invoices. ^DW",,
1190844,1190840,@AmazonHelp どうにかできました！ありがとうございました(๑･̑◡･̑๑),"@399902 問題が解決したとのこと、安心しました。
これからもご不明点があればご遠慮なくお知らせください。MH",,
324489,324488,"@AmazonHelp Ur delivery dept has rescheduled the delivery &amp; disgustingly mentioned ""as per customer request""
Its too poor practice Mr @115851","@193294 That was unintended. However, could you confirm if you've reached out to our support team? ^MS",,
1238807,1238800,@AmazonHelp Essa é a parte difícil: escolher haha,"@410572 Com certeza, é muito difícil. Me diga, você tem autores favoritos?. 🤔💚 ^NB",,
180139,180131,@AmazonHelp ok..so should i contact customer care on a daily basis or wait till eternity to get this resolved.,"@158389 I'm sorry for the inconvinience, request you to provide some more time and we will certainly contact you with an update. ^VH",,
2755675,2755673,@AmazonHelp You should definitely make it available people..like really,@454317 I'll share your feedback about this internally for review. ^NR,,
1876512,1876510,"@AmazonHelp So why do you have a twitter if it just asks us to email you? My order is unfulfilled, this is a complaint. Why must i email you?",@164819 I'm sorry but we can not access your account or order details via Twitter. We're happy to look at options via provided link! ^CS,,
1053568,1053594,@AmazonHelp I have a complaint against your seller then!,@368940 I get you being upset. I'll be sure to forward your feedback internally. Appreciate your understanding. ^MS,,
1773509,1773507,"@AmazonHelp I ordered some stuff,and it offered me prime shipping which I gladly accepted it.I check my bank statement today and they charge me almost $12.so I called and they say because I use the free one months ago,but when I was checking out it never told me I was ineligible for it",@533023 I am so sorry about that TJ! When you contacted us what options where you provided? ^LS,,
2772418,2772417,"@AmazonHelp え、、、アマゾンのカスタマーサービスさん⁇😅
ノリがいいなぁ。ひょっとして関西人とか⁉️","@774920 すみません。。。突然。。Amazonです！
カワイイ画像だったので、思わずリプライしてしまいました( *´艸｀)
Amazon箱は、浅さとか大きさなど猫ちゃんに好かれる要素が何かあるみたいなんです。
(*´-`).。oO(入り心地はどうかな~？あ！ちなみに関西人ではなかったです～)TY",,
833916,833922,@AmazonHelp I was promised a replacement before tomorrow early morning.Bt I don't see any updates on that. https://t.co/fBwzdFFCGb,"@318592 We've received your details this afternoon, Kiran. We'll review the details and get in touch with you soon. ^JC",,
369219,369218,@AmazonHelp I have to return only... No other option i have... Now you have to give me the same product in same price...,"@203474 I get your concern, please connect with our support team here: https://t.co/TdDksLo6Mf. We'll assist you on this. ^PS",,
1117051,1117056,"@AmazonHelp form filled no reply yet
such an unstrustworthy service by amazon 3 days delayed from expected delivery date","@383580 Sorry about the delay, Jay. Our team is working on your concern, please wait four us to reach out. ^MS",,
1553242,1553236,@AmazonHelp no veo q nada raro.Es 1 envío dentro d la península.Al menos he conseguido guardar la dirección.A ver si la próxima vez lo logro,"@480562 Entiendo, por favor intenta nuevamente más tarde, al añadir tu dirección puedes verificar las instrucciones del (1/2)",,
1242260,1242259,"@AmazonHelp Correct. I set the Sonos skill up with my speaker and my Spotify account, but it only plays out of the echo.",@411410 We´re here to help! Please reach us by phone or chat when you have a moment: https://t.co/hApLpMlfHN so we can look into this. ^LH,,
440270,440252,@AmazonHelp When?  In coming new year? Busy looting other innocent customers or what? @115851 @12934 @1840,@140964 I understand your disappointment. Please be assured we're working on it and would reach out to you soon. ^GS,,
2280812,2280810,@AmazonHelp I have to login to view the page.,@663013 Oh dear! Sorry about that! Here is a better link to help skip the need to sign in: https://t.co/jzvkhdlrK5 ^ST,,
1901353,1901348,"@AmazonHelp I've already reached out three times, spoke with Amazon logistics, and was told there is nothing they can do other than redeliver tmrw",@390031 I'm sorry for the poor experience! Please allow us to take a closer look by filling in this form: https://t.co/MzY1jRY1AR ^QJ,,
2254536,2254534,@AmazonHelp November 7th. It’s said “Out for delivery” and “Arriving today by 8pm” every day since the 7th.,@539934 Something is definitely not right! Could you please clarify who the carrier is for us? ^BA,,
382784,382770,"@AmazonHelp It says expected yesterday, another says already delivered. I have none of these items.","@206722 We'd like to look further into this with you in real-time, Julian. Please reach out to us here: https://t.co/JzP7hlA23B ^WJ",,
2117762,2117761,@AmazonHelp Then surely it should have been updated on my acc and not asked for a review.,@487136 Thanks for the feedback Matt. Apologies for any inconvenience caused. ^TP,,
1547219,1547218,"@AmazonHelp Link provided is for buyers, we are seller on Amazon.in",@479065 I'm sorry about the hassle. Please connect to our support team here: https://t.co/hITbmQzz2y. We'll look into it. ^SB,,
2102721,2102720,"@AmazonHelp ""Alexa, What's the weather like"" 
""Currently in Kozhikode, Kansas, it is..."" for fuck's sake, I live in Kozhikode but Kozhikode is NOT in Kansas. Is Alexa actually intelligent? You tell me @115850. She's your kid.",@441736 refer: https://t.co/6dnetffI7m for more information. (2/2) ^MO,,
1380604,1380598,@AmazonHelp Is there a way to find out if my package has been lost? There hasn’t been an update on it since early Sunday.,@441365 Please contact us by phone or chat: https://t.co/EKXRLsnxJu so we can look into this with you.  ^AF,,
1296544,1296543,"@AmazonHelp Guideline says I should not be directly or indirectly associated with product as in biased comment, which am satisfying. Then why not allow?","@242502 Reviews are system approved, service related discrepancies will not be taken. ^MJ",,
986407,986403,@AmazonHelp D'accord merci,@353771 À votre service. ^FA,,
1511931,1511927,"@AmazonHelp It SAID same day, but then it said it would send me confirmation, and when I got the confirmation it said Nov 5th.","@470927 Where we don't have access to your account, the best way to assist you would be to contact us: https://t.co/hApLpMlfHN ^LS",,
607313,607311,@AmazonHelp Thanks!,"@264326 You're very welcome, Nikki! We look forward to assisting you with this issue further soon. ^SD",,
457683,457681,@AmazonHelp Why am I not surprised this still is unresolved,"@223690 I'm so sorry for the delayed response! I'd like to have a member of our team look into this and further investigate the available options. When you have a moment, please send us the order number and a few relevant details here: https://t.co/SIgpnOeLFS ^SB",,
1421266,1421206,@AmazonHelp Enough of this nuisance!! Its been 8 months since my money is not refunded and even now i just got an email on 30th oct syaing the matter,@450380 I understand that waiting is tiresome &amp; I'm sorry about that. Reply to the social media correspondence 1/2 ^MJ,,
